SpriteName	De
FaceFeatureB5	Gesichtsmerkmal B 5
PiercingA5_Color	Piercing 5
Loading	Aufkleber wird geladen
Nose3	Nase 3
CapeFront3_Outline	Kapfront | Umriss des Kaps 3
CockroachLeg	Kakerlake 1
EarringA5_Color	Ohrring 5
Eye2_Highlight	Augen Highlight 2
Angry4	Aufkleber Wütend 4
AnimalEar1_Front_Outline	Tierohr Umriss 1
Main5_Outline	Outfit innen Umriss 5
ExclamationMark	Aufkleber Ausrufezeichen
Mouth_Line	Getränkebecher | Mund
Eye3_Dollar	Augendollar 3
HairShine7_Color	Haarglanz 13 + 14
WingG1_Outter_Color	Flügel 10 .1
Eye1_Upperlid	Wimpern 1 .1
WingE1_Middle_Color	Flügel 8 .2
TailE2_Color	Schwanz 13
SweatWhite	Aufkleber Schweiß
Collar6_String	Outfit Kragenschnur 7
PonytailA5_Color	Haar Pferdeschwanz 9
FrameHair_A10_Outline	Seitensträhnen Umriss 19
HairBang6_Side_Color	Pony 11
SideHairA5_Outline	Haare Seite Umriss 9 + 10
SideHairA3_Color	Haare Seite 5
FrameHair_A5_Outline	Seitensträhnen Umriss 9 + 10
Pigtail_A2_Color	Haarzopf 3
SideHairB8_Outline	Haare Seite Umriss 31 + 32
SideHairA3_Outline	Haare Seite Umriss 5 + 6 
PonytailA1_Color	Haar Pferdeschwanz 1
PonytailA5_Gradient	Haar Pferdeschwanz 10
BellClapper	Glocke 1
EarringA5_Outline	Ohrring Umriss 5
HairShine5_Outline	Haarglanz Umriss 10
Nose1	Nase 1
HairClip5_Color	Haarspange 5
TailC1_Color	Schwanz 8
PonytailA5_Outline	Haar-Pferdeschwanz-Umriss 9 + 10
WingB1_Outline	Flügel Umriss 4
AlertClick	Aufkleber Alert Effekt
HairClip13_Color	Haarspange 13
SideHairA7_Outline	Haare Seite Umriss 13 + 14
SideHairA6_Outline	Haare Seite Umriss 11 + 12
CreditCard	Kartendurchzug
Hand_Line2	Hand 1 .1
Eye1_Highlight	Augen Highlight 1
EarringA1_Color	Ohrring 1
Brow1	Augenbraue 1
FaceFeatureB2	Gesichtsmerkmal B 2
CortisolMeter	Tanz (niedriger Cortisolspiegel) 2
HairBang1_Side_Outline	Pony Umriss 1 + 2
Hairline	Basishaare 1
EarringB1_Color	Ohrring 6
Palmar_Line2	Hand 1 .2
StrawLiquid_Color	Becherflüssigkeit 2
Mecha5_Color	Mecha 5
HairClip13_Outline	Haarspange Umriss 13
EasterEgg3	Ostern 3
Collar3_Outline	Outfit Kragen Umriss 3
HairHighlight4_Color	Haar Highlight >< 1 + 2
Tongue2	Mund/Zunge | Lecken
FaceFeatureA3	Gesichtsmerkmal A 3
AnimalEar4_Outline	Tierohr Umriss 4
SideHairB8_Gradient	Haare Seite 32
PonytailA4_Outline	Haar-Pferdeschwanz-Umriss 7 + 8
HatD1_Outline	Hut Umriss 8
GasBottle	Gasflasche
SideHairA2_Outline	Haare Seite Umriss 3 + 4
SideHairB5_Outline	Haare Seite Umriss 25 + 26
FacialHair_A4_Color	Gesichtsbehaarung A 4
EarringA2_Color	Ohrring 2
Eye3_Light	Augeniris hell 3
AnimalEar1_Back_Outline	Tierohr Umriss 1 .1
CapeFront5_Outline	Kapfront | Umriss des Kaps 5
SideHairB8_Color	Haare Seite 31
HairShine6_Color	Haarglanz 11 + 12
Hairband5_Outline	Haarband B Umriss 3
CapeBack1_Outline	Kap zurück | Umriss des Kaps 1
Halo3_Color	Heiligenschein 3
Eye3_Eyelash	Wimpern 3
Leg	Bein 1
Thumb_Color	Hand 1 .3
HairShine2_Color	Haarglanz 3 + 4
Hairband1_Outline	Haarband A Umriss 1
Brow7	Augenbraue 7
Palmar_Line1	Hand 1 .4
PiercingA3_Color	Piercing 3
Pigtail_A7_Color	Haarzopf 13
SideHairA3_Gradient	Haare Seite 6
SideHairA8_Outline	Haare Seite Umriss 15 + 16
PonytailA3_Outline	Haar-Pferdeschwanz-Umriss 5 + 6
TailF2_Outline	Schwanz Umriss 16
Ear_Outline	Ohr Umriss 1
HairClip11_Color	Haarspange 11
TailC1_Outline	Schwanz Umriss 8
Cheek3	Wange 3
Eye_Popcat_Light	Dum 3 | Auge | Popcat Standbild
CandleFire	Kerzenfeuer
PiercingA4_Outline	Piercing Umriss 4
NeckwearA2_Color	Outfit Halsschmuck A 2
little_Color	Hand 1 .5
PiercingA1_Color	Piercing 1
PhoneLight	Telefon Licht
ShakeLine1	Angst 1
Eye2_Upperlid	Wimpern 2 .1
NeckwearA3_Color	Outfit Halsschmuck A 3
Brow9	Augenbraue 9
EarringA1_Outline	Ohrring Umriss 1
TailA2_Outline	Schwanz Umriss 2
Drooling	Sabbern
PiercingA4_Color	Piercing 4
PonytailA3_Color	Haar Pferdeschwanz 5
PonytailA2_Gradient	Haar Pferdeschwanz 4
AnimalEar7_Outline	Tierohr Umriss 7
Brow6	Augenbraue 6
PopperConfetti2	Konfetti 2
Swatter	Fliegenklatsche
Fin1_Outline	Flosse Umriss
HairShine3_Color	Haarglanz 5 + 6
TailB1_Color	Schwanz 3
HammerEffect2	Hammer 2
Mecha1_Outline	Mecha Umriss 1
Pigtail_A4_Outline	Haarzopf Umriss 7 + 8
HatC1_Outline	Hut Umriss 6 + 7
Pigtail_B1_Color	Haarzopf 17
Flash	Waffenblitz
Brow4	Augenbraue 4
CortisolMeterPointer	Tanz (niedriger Cortisolspiegel) 1
Hand_Line1	Hand 1 .6
RedPacketCoin4	Glücksumschlag 4
Cheek4	Wange 4
FaceFeatureB3	Gesichtsmerkmal B 3
Brow2	Augenbraue 2
StickyNote	Haftnotiz
Loading_Outline	Aufkleber wird geladen 2
Collar6_Outline	Outfit Kragen Umriss 6 + 7
CapeBack3_Color	Kap zurück 3
SideHairB6_Outline	Haare Seite Umriss 27 + 28
PonytailA1_Outline	Haar-Pferdeschwanz-Umriss 1 + 2
PonytailA2_Color	Haar Pferdeschwanz 3
SideHairA2_Color	Haare Seite 3
GiftBoxLid	Geschenk 2
Collar4_Color	Outfit-Kragen innen 4
WingE1_Upper_Color	Flügel 8 .1
WingA1_Color	Flügel 1
FrameHair_B4_Outline	Seitensträhnen Umriss 29 + 30
FrameHair_Branch_A1_Color	Haarzweig 1
SideHairA7_Gradient	Haare Seite 14
Wing2_Color	Ohrflügel 2
TailA1_Color	Schwanz 1
Eye3_Heart	Augenherz 3
FrameHair_A8_Outline	Seitensträhnen Umriss 15 + 16
DrawingTablet	Tablet
FaceFeatureA2	Gesichtsmerkmal A 2
PiercingA2_Color	Piercing 2
Eye_Popcat_Highlight	Popcat | Augen Highlight
Hairband3_Outline	Haarband B Umriss 1
NeckwearB6_Color	Outfit Halsschmuck B 6
Mouth_Popcat1	Popcat | Mund 1
Rose	Rose
HairbandBack2_Outline	Haarband D Umriss 2
Mecha2_Outline	Mecha Umriss 2
SideHairA8_Gradient	Haare Seite 16
NeckwearB7_Color	Outfit Halsschmuck B 7
Donut3	Krapfen 3
NeckwearB5_Outline	Outfit Halsschmuck B Umriss 5
StickyNoteText	Haftnotiz Text
SideHairA6_Gradient	Haare Seite 12
PonytailA4_Gradient	Haar Pferdeschwanz 8
Ahoge_A4_Color	Haare Ahoge 4
Gill2_Color	Kieme 1 .2
FacialHair_A7_Outline	Gesichtsbehaarung A Umriss 7
HatC1_Color	Hut 6 + 7
SideHairA5_Color	Haare Seite 9
LightStickHandle	Leuchtstabgriff
Eye1_Spiral	Augenspirale 1 + 2
EasterEgg2	Ostern 2
EasterEgg1	Ostern 1
HairClip5_Outline	Haarspange Umriss 5
SideHairA8_Color	Haare Seite 15
