SpriteName	Es
FaceFeatureB5	Característica de la cara B 5
PiercingA5_Color	Perforación 5
Loading	Cargando pegatinas
Nose3	Nariz 3
CapeFront3_Outline	Frente del Cabo | Esquema del cabo 3
CockroachLeg	Cucaracha 1
EarringA5_Color	Pendiente 5
Eye2_Highlight	Brillo del ojo 2
Angry4	Efecto enojado 4
AnimalEar1_Front_Outline	Orejas de animal Contorno 1
Main5_Outline	Contorno del Outfit interior 5
ExclamationMark	Signo de exclamación
Mouth_Line	Vaso de bebida | Boca
Eye3_Dollar	Ojos de dinero 3
HairShine7_Color	Brillo del cabello 13 + 14
WingG1_Outter_Color	Ala 10 .1
Eye1_Upperlid	Pestañas 1 .1
WingE1_Middle_Color	Ala 8 .2
TailE2_Color	Cola 13
SweatWhite	Gota de Sudor
Collar6_String	Cordón del cuello del Outfit 7
PonytailA5_Color	Cola de caballo de pelo 9
FrameHair_A10_Outline	Mechón frontal Contorno 19
HairBang6_Side_Color	Flequillo 11
SideHairA5_Outline	Contorno del cabello de los lados trasero 9 + 10
SideHairA3_Color	Cabello de los lados trasero 5
FrameHair_A5_Outline	Mechón frontal Contorno 9 + 10
Pigtail_A2_Color	Coleta de pelo 3
SideHairB8_Outline	Contorno del cabello de los lados trasero 31 + 32
SideHairA3_Outline	Contorno del cabello de los lados trasero 5 + 6 
PonytailA1_Color	Cola de caballo de pelo 1
PonytailA5_Gradient	Cola de caballo de pelo 10
BellClapper	Campana 1
EarringA5_Outline	Pendiente Contorno 5
HairShine5_Outline	Contornodel brillo del cabello 10
Nose1	Nariz 1
HairClip5_Color	Pinza para el pelo 5
TailC1_Color	Cola 8
PonytailA5_Outline	Contorno de cola de caballo de pelo 9 + 10
WingB1_Outline	Ala Contorno 4
AlertClick	Efecto de la alerta
HairClip13_Color	Pinza para el pelo 13
SideHairA7_Outline	Contorno del cabello de los lados trasero 13 + 14
SideHairA6_Outline	Contorno del cabello de los lados trasero 11 + 12
CreditCard	Deslizar tarjeta
Hand_Line2	Mano 1 .1
Eye1_Highlight	Brillo del ojo 1
EarringA1_Color	Pendiente 1
Brow1	Ceja 1
FaceFeatureB2	Característica de la cara B 2
CortisolMeter	Danza (bajo cortisol) 2
HairBang1_Side_Outline	Flequillo Contorno 1 + 2
Hairline	Cabello Base 1
EarringB1_Color	Pendiente 6
Palmar_Line2	Mano 1 .2
StrawLiquid_Color	Líquido del vaso 2
Mecha5_Color	Mecha 5
HairClip13_Outline	Pinza para el cabello Contorno 13
EasterEgg3	Pascua de Resurrección 3
Collar3_Outline	Contorno del cuello del Outfit 3
HairHighlight4_Color	Mechas de cabello >< 1 + 2
Tongue2	Boca/Lengua | Lamiendo
FaceFeatureA3	Característica de la cara A 3
AnimalEar4_Outline	Orejas de animal Contorno 4
SideHairB8_Gradient	Cabello de los lados trasero 32
PonytailA4_Outline	Contorno de cola de caballo de pelo 7 + 8
HatD1_Outline	Contorno del sombrero 8
GasBottle	Tanque de Copium
SideHairA2_Outline	Contorno del cabello de los lados trasero 3 + 4
SideHairB5_Outline	Contorno del cabello de los lados trasero 25 + 26
FacialHair_A4_Color	Vello facial A 4
EarringA2_Color	Pendiente 2
Eye3_Light	Brillo del iris 3
AnimalEar1_Back_Outline	Orejas de animal Contorno 1 .1
CapeFront5_Outline	Frente del Cabo | Esquema del cabo 5
SideHairB8_Color	Cabello de los lados trasero 31
HairShine6_Color	Brillo del cabello 11 + 12
Hairband5_Outline	Contorno de Diadema B 3
CapeBack1_Outline	Cabo trasero | Esquema del cabo 1
Halo3_Color	Halo 3
Eye3_Eyelash	Pestañas 3
Leg	Pierna 1
Thumb_Color	Mano 1 .3
HairShine2_Color	Brillo del cabello 3 + 4
Hairband1_Outline	Contorno de Diadema A 1
Brow7	Ceja 7
Palmar_Line1	Mano 1 .4
PiercingA3_Color	Perforación 3
Pigtail_A7_Color	Coleta de pelo 13
SideHairA3_Gradient	Cabello de los lados trasero 6
SideHairA8_Outline	Contorno del cabello de los lados trasero 15 + 16
PonytailA3_Outline	Contorno de cola de caballo de pelo 5 + 6
TailF2_Outline	Contorno de la cola 16
Ear_Outline	Oreja Contorno 1
HairClip11_Color	Pinza para el pelo 11
TailC1_Outline	Contorno de la cola 8
Cheek3	Mejilla 3
Eye_Popcat_Light	Tonto 3 | Ojo | Marco de gato pop
CandleFire	fuego de vela
PiercingA4_Outline	Perforación Contorno 4
NeckwearA2_Color	Accesorios de cuello A 2
little_Color	Mano 1 .5
PiercingA1_Color	Perforación 1
PhoneLight	Luz del teléfono
ShakeLine1	Asustado 1
Eye2_Upperlid	Pestañas 2 .1
NeckwearA3_Color	Accesorios de cuello A 3
Brow9	Ceja 9
EarringA1_Outline	Pendiente Contorno 1
TailA2_Outline	Contorno de la cola 2
Drooling	Drooling
PiercingA4_Color	Perforación 4
PonytailA3_Color	Cola de caballo de pelo 5
PonytailA2_Gradient	Cola de caballo de pelo 4
AnimalEar7_Outline	Orejas de animal Contorno 7
Brow6	Ceja 6
PopperConfetti2	Confeti 2
Swatter	Palmeta matamoscas
Fin1_Outline	Aleta Contorno
HairShine3_Color	Brillo del cabello 5 + 6
TailB1_Color	Cola 3
HammerEffect2	Martillo 2
Mecha1_Outline	Contorno del mecha 1
Pigtail_A4_Outline	Coleta de pelo Contorno 7 + 8
HatC1_Outline	Contorno del sombrero 6 + 7
Pigtail_B1_Color	Coleta de pelo 17
Flash	Destello de pistola
Brow4	Ceja 4
CortisolMeterPointer	Danza (bajo cortisol) 1
Hand_Line1	Mano 1 .6
RedPacketCoin4	Sobre rojo 4
Cheek4	Mejilla 4
FaceFeatureB3	Característica de la cara B 3
Brow2	Ceja 2
StickyNote	Nota adhesiva
Loading_Outline	Cargando pegatinas 2
Collar6_Outline	Contorno del cuello del Outfit 6 + 7
CapeBack3_Color	Cabo trasero 3
SideHairB6_Outline	Contorno del cabello de los lados trasero 27 + 28
PonytailA1_Outline	Contorno de cola de caballo de pelo 1 + 2
PonytailA2_Color	Cola de caballo de pelo 3
SideHairA2_Color	Cabello de los lados trasero 3
GiftBoxLid	Regalo 2
Collar4_Color	Interior del cuello del traje 4
WingE1_Upper_Color	Ala 8 .1
WingA1_Color	Ala 1
FrameHair_B4_Outline	Mechón frontal Contorno 29 + 30
FrameHair_Branch_A1_Color	Rama de cabello 1
SideHairA7_Gradient	Cabello de los lados trasero 14
Wing2_Color	Ala de oreja 2
TailA1_Color	Cola 1
Eye3_Heart	Ojos de corazón 3
FrameHair_A8_Outline	Mechón frontal Contorno 15 + 16
DrawingTablet	Tableta
FaceFeatureA2	Característica de la cara A 2
PiercingA2_Color	Perforación 2
Eye_Popcat_Highlight	Marco de gato pop | Brillo del ojo
Hairband3_Outline	Contorno de Diadema B 1
NeckwearB6_Color	Accesorios de cuello B 6
Mouth_Popcat1	gato pop | Boca 1
Rose	Rosa
HairbandBack2_Outline	Contorno de Diadema D 2
Mecha2_Outline	Contorno del mecha 2
SideHairA8_Gradient	Cabello de los lados trasero 16
NeckwearB7_Color	Accesorios de cuello B 7
Donut3	Rosquilla 3
NeckwearB5_Outline	Contorno del accesorio de cuello B 5
StickyNoteText	Texto de nota adhesiva
SideHairA6_Gradient	Cabello de los lados trasero 12
PonytailA4_Gradient	Cola de caballo de pelo 8
Ahoge_A4_Color	Ahoge 4
Gill2_Color	Branquia 1 .2
FacialHair_A7_Outline	Contorno del vello facial A 7
HatC1_Color	Sombrero 6 + 7
SideHairA5_Color	Cabello de los lados trasero 9
LightStickHandle	Mango del Lightstick
Eye1_Spiral	Espiral en los ojos 1 + 2
EasterEgg2	Pascua de Resurrección 2
EasterEgg1	Pascua de Resurrección 1
HairClip5_Outline	Pinza para el cabello Contorno 5
SideHairA8_Color	Cabello de los lados trasero 15
HairHighlight2_Outline	Mechas de cabello Contorno 2 << + 2 >>
Ahoge_A2_Color	Ahoge 2
SideHairB7_Outline	Contorno del cabello de los lados trasero 29 + 30
AlertBits_Outline	Contorno de la alerta 6
SunGlasses_Frame	Gafas de sol
PonytailA4_Color	Cola de caballo de pelo 7
HairHighlight2_Color	Mechas de cabello 2 << + 2 >>
SideHairA5_Gradient	Cabello de los lados trasero 10
SideHairA6_Color	Cabello de los lados trasero 11
HairbandBack2_Color	Diadema D 2
NeckwearB1_Outline	Contorno del accesorio de cuello B 2
HairClip3_Outline	Pinza para el cabello Contorno 3
Bill2	Billetes 2
Volume	Efecto de Volumen
FrameHair_A1_Color	Mechón frontal 1 
FrameHair_A2_Gradient	Mechón frontal 2 
Pigtail_C2_Color	Coleta de pelo 23
Pigtail_C2_Gradient	Coleta de pelo 24
WingF1_Lower_Outline	Ala Contorno 9 .2
Glasses_Frame3	Anteojos 3
WingA2_Outline	Ala Contorno 2
PalmarGlove1_Outline	Mano 2 .1
Eye1_Sparkling	Ojos chispeantes 1
SideHairB2_Color	Cabello de los lados trasero 19
SideHairB2_Gradient	Cabello de los lados trasero 20
SideHairA1_Outline	Contorno del cabello de los lados trasero 1 + 2
EarringA3_Color	Pendiente 3
EarringA4_Color	Pendiente 4
TailF_Outline	Contorno de la cola 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	Contorno del halo 2
HairBang4_Side_Outline	Flequillo Contorno 7 + 8
TailD1_Outline	Contorno de la cola 11
Pigtail_A8_Outline	Coleta de pelo Contorno 15 + 16
HairBang4_Middle_Outline	Flequillo >< Contorno 4
SideHairB2_Outline	Contorno del cabello de los lados trasero 19 + 20
ShakeLine2	Asustado 2
EarringB2_Color	Pendiente 7
TailA2_Color	Cola 2
TailF_Color	Cola 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	Cabello de los lados trasero 27
Controller	Controlador
