SpriteName	Fr
FaceFeatureB5	Caractéristique Faciale B 5
PiercingA5_Color	Piercing 5
Loading	Chargement
Nose3	Nez 3
CapeFront3_Outline	Cape Avant | Contour Cape 3
CockroachLeg	Cafard 1
EarringA5_Color	Boucle d'Oreille 5
Eye2_Highlight	Œil Lumière 2
Angry4	Colère 4
AnimalEar1_Front_Outline	Oreille d'Animal Contour 1
Main5_Outline	Contour Tenue Intérieure 5
ExclamationMark	Point d'Exclamation
Mouth_Line	Tasse | Bouche
Eye3_Dollar	Yeux Dollars 3
HairShine7_Color	Lumière Cheveux 13 + 14
WingG1_Outter_Color	Aile 10 .1
Eye1_Upperlid	Cils 1 .1
WingE1_Middle_Color	Aile 8 .2
TailE2_Color	Queue 13
SweatWhite	Sueur
Collar6_String	Tenue Lacets Hoodie 7
PonytailA5_Color	Queue de cheval 9
FrameHair_A10_Outline	Contour Mèche Visage Côté 19
HairBang6_Side_Color	Frange Côté 11
SideHairA5_Outline	Contour Cheveux Côtés 9 + 10
SideHairA3_Color	Cheveux Côtés 5
FrameHair_A5_Outline	Contour Mèche Visage Côté 9 + 10
Pigtail_A2_Color	Couettes 3
SideHairB8_Outline	Contour Cheveux Côtés 31 + 32
SideHairA3_Outline	Contour Cheveux Côtés 5 + 6 
PonytailA1_Color	Queue de cheval 1
PonytailA5_Gradient	Queue de cheval 10
BellClapper	Cloche 1
EarringA5_Outline	Contour Boucle d'Oreille 5
HairShine5_Outline	Contour Lumière Cheveux 10
Nose1	Nez 1
HairClip5_Color	Pince à Cheveux 5
TailC1_Color	Queue 8
PonytailA5_Outline	Aperçu de la queue de cheval 9 + 10
WingB1_Outline	Contour Aile 4
AlertClick	Effet Alerte (Coeur, Pouce etc...)
HairClip13_Color	Pince à Cheveux 13
SideHairA7_Outline	Contour Cheveux Côtés 13 + 14
SideHairA6_Outline	Contour Cheveux Côtés 11 + 12
CreditCard	Glissement de carte
Hand_Line2	Main 1 .1
Eye1_Highlight	Œil Lumière 1
EarringA1_Color	Boucle d'Oreille 1
Brow1	Sourcil 1
FaceFeatureB2	Caractéristique Faciale B 2
CortisolMeter	Danse (Faible Taux de Cortisol) 2
HairBang1_Side_Outline	Contour Frange Côté >> 1 + 2
Hairline	Base des Cheveux 1
EarringB1_Color	Boucle d'Oreille 6
Palmar_Line2	Main 1 .2
StrawLiquid_Color	Boisson Liquide 2
Mecha5_Color	Mecha 5
HairClip13_Outline	Contour Pince à Cheveux 13
EasterEgg3	Pâques 3
Collar3_Outline	Contour Tenue Col 3
HairHighlight4_Color	Mèches Individuelle >< 1 + 2
Tongue2	Bouche/Langue | Lécher
FaceFeatureA3	Caractéristique Faciale A 3
AnimalEar4_Outline	Oreille d'Animal Contour 4
SideHairB8_Gradient	Cheveux Côtés 32
PonytailA4_Outline	Aperçu de la queue de cheval 7 + 8
HatD1_Outline	Contour Chapeau 8
GasBottle	Bouteille de Gaz
SideHairA2_Outline	Contour Cheveux Côtés 3 + 4
SideHairB5_Outline	Contour Cheveux Côtés 25 + 26
FacialHair_A4_Color	Barbe 4
EarringA2_Color	Boucle d'Oreille 2
Eye3_Light	Œil Clair 3
AnimalEar1_Back_Outline	Oreille d'Animal Contour 1 .1
CapeFront5_Outline	Cape Avant | Contour Cape 5
SideHairB8_Color	Cheveux Côtés 31
HairShine6_Color	Lumière Cheveux 11 + 12
Hairband5_Outline	Contour Bandeau B 3
CapeBack1_Outline	Cape Arrière | Contour Cape 1
Halo3_Color	Halo 3
Eye3_Eyelash	Cils 3
Leg	Jambe 1
Thumb_Color	Main 1 .3
HairShine2_Color	Lumière Cheveux 3 + 4
Hairband1_Outline	Contour Bandeau A 1
Brow7	Sourcil 7
Palmar_Line1	Main 1 .4
PiercingA3_Color	Piercing 3
Pigtail_A7_Color	Couettes 13
SideHairA3_Gradient	Cheveux Côtés 6
