SpriteName	Hu
FaceFeatureB5	Arcvonás B 5
PiercingA5_Color	Piercing 5
Loading	Matrica betöltése
Nose3	Orr 3
CapeFront3_Outline	(Köpeny eleje) Cape Front | (Köpeny) Cape körvonala 3
CockroachLeg	Csótány 1
EarringA5_Color	Fülbevaló 5
Eye2_Highlight	Szemkiemelés 2
Angry4	Dühös matrica 4
AnimalEar1_Front_Outline	Állati fül Vázlat 1
Main5_Outline	Outfit belső körvonala 5
ExclamationMark	Matrica felkiáltójel
Mouth_Line	Italpohár | Száj
Eye3_Dollar	Szem dollár 3
HairShine7_Color	Hajfény 13 + 14
WingG1_Outter_Color	Szárny 10 .1
Eye1_Upperlid	Szempilla 1 .1
WingE1_Middle_Color	Szárny 8 .2
TailE2_Color	Farok 13
SweatWhite	Matrica verejték
Collar6_String	Outfit nyakörv 7
PonytailA5_Color	Haj lófarok 9
FrameHair_A10_Outline	Hajkeretezés Vázlat 19
HairBang6_Side_Color	(Hajfrizura) Hair Bang 11
SideHairA5_Outline	Haj oldalsó körvonal 9 + 10
SideHairA3_Color	Hajoldal 5
FrameHair_A5_Outline	Hajkeretezés Vázlat 9 + 10
Pigtail_A2_Color	Haj Pigtail (Hajfarok) 3
SideHairB8_Outline	Haj oldalsó körvonal 31 + 32
SideHairA3_Outline	Haj oldalsó körvonal 5 + 6 
PonytailA1_Color	Haj lófarok 1
PonytailA5_Gradient	Haj lófarok 10
BellClapper	Harang 1
EarringA5_Outline	Fülbevaló Vázlat 5
HairShine5_Outline	Hajfény vázlat 10
Nose1	Orr 1
HairClip5_Color	Hajcsat 5
TailC1_Color	Farok 8
PonytailA5_Outline	Haj lófarok vázlat 9 + 10
WingB1_Outline	Szárny Vázlat 4
AlertClick	Matrica figyelmeztető hatás
HairClip13_Color	Hajcsat 13
SideHairA7_Outline	Haj oldalsó körvonal 13 + 14
SideHairA6_Outline	Haj oldalsó körvonal 11 + 12
CreditCard	Kártya ellop
Hand_Line2	Kéz 1 .1
Eye1_Highlight	Szemkiemelés 1
EarringA1_Color	Fülbevaló 1
Brow1	Szemöldök 1
FaceFeatureB2	Arcvonás B 2
CortisolMeter	Tánc (alacsony kortizolszint) 2
HairBang1_Side_Outline	(Hajfrizura) Hair Bang Vázlat 1 + 2
Hairline	Alaphaj 1
EarringB1_Color	Fülbevaló 6
Palmar_Line2	Kéz 1 .2
StrawLiquid_Color	Folyékony ital 2
Mecha5_Color	Mecha 5
HairClip13_Outline	Hajcsat Vázlat 13
EasterEgg3	húsvéti 3
Collar3_Outline	Outfit gallér vázlat 3
HairHighlight4_Color	Hajkiemelés >< 1 + 2
Tongue2	Száj/nyelv | Nyalás
FaceFeatureA3	Arcvonás A 3
AnimalEar4_Outline	Állati fül Vázlat 4
SideHairB8_Gradient	Hajoldal 32
PonytailA4_Outline	Haj lófarok vázlat 7 + 8
HatD1_Outline	Kalap vázlat 8
GasBottle	Gázpalack
SideHairA2_Outline	Haj oldalsó körvonal 3 + 4
SideHairB5_Outline	Haj oldalsó körvonal 25 + 26
FacialHair_A4_Color	Arcszőrzet A 4
EarringA2_Color	Fülbevaló 2
Eye3_Light	Szem írisz fénye 3
AnimalEar1_Back_Outline	Állati fül Vázlat 1 .1
CapeFront5_Outline	(Köpeny eleje) Cape Front | (Köpeny) Cape körvonala 5
SideHairB8_Color	Hajoldal 31
HairShine6_Color	Hajfény 11 + 12
Hairband5_Outline	Hajpánt B körvonal 3
CapeBack1_Outline	(Köpeny hátulja) Cape Back | (Köpeny) Cape körvonala 1
Halo3_Color	Halo (Glória) 3
Eye3_Eyelash	Szempilla 3
Leg	Láb 1
Thumb_Color	Kéz 1 .3
HairShine2_Color	Hajfény 3 + 4
Hairband1_Outline	Hajpánt A körvonal 1
Brow7	Szemöldök 7
Palmar_Line1	Kéz 1 .4
PiercingA3_Color	Piercing 3
Pigtail_A7_Color	Haj Pigtail (Hajfarok) 13
SideHairA3_Gradient	Hajoldal 6
SideHairA8_Outline	Haj oldalsó körvonal 15 + 16
PonytailA3_Outline	Haj lófarok vázlat 5 + 6
TailF2_Outline	Farok körvonala 16
Ear_Outline	Fül Vázlat 1
HairClip11_Color	Hajcsat 11
TailC1_Outline	Farok körvonala 8
Cheek3	(Orca) Pofa 3
