SpriteName	It
FaceFeatureB5	Caratteristica del viso B 5
PiercingA5_Color	Perforazione 5
Loading	Caricamento adesivo
Nose3	Naso 3
CapeFront3_Outline	Capo anteriore | Profilo del Capo 3
CockroachLeg	Scarafaggio 1
EarringA5_Color	Orecchino 5
Eye2_Highlight	Evidenziazione degli occhi 2
Angry4	Adesivo Arrabbiato 4
AnimalEar1_Front_Outline	Orecchio di animale Contorno 1
Main5_Outline	Contorno interno del vestito 5
ExclamationMark	Punto esclamativo adesivo
Mouth_Line	Tazza per bevande | Bocca
Eye3_Dollar	Dollaro degli occhi 3
HairShine7_Color	Lucentezza dei capelli 13 + 14
WingG1_Outter_Color	Ala 10 .1
Eye1_Upperlid	Ciglia 1 .1
WingE1_Middle_Color	Ala 8 .2
TailE2_Color	Coda 13
SweatWhite	Adesivo Sudore
Collar6_String	Corda per colletto dell'outfit 7
PonytailA5_Color	Coda di cavallo dei capelli 9
FrameHair_A10_Outline	Inquadratura dei capelli Contorno 19
HairBang6_Side_Color	Frangia ai capelli 11
SideHairA5_Outline	Contorno laterale dei capelli 9 + 10
SideHairA3_Color	Lato dei capelli 5
FrameHair_A5_Outline	Inquadratura dei capelli Contorno 9 + 10
Pigtail_A2_Color	Codino di capelli 3
SideHairB8_Outline	Contorno laterale dei capelli 31 + 32
SideHairA3_Outline	Contorno laterale dei capelli 5 + 6 
PonytailA1_Color	Coda di cavallo dei capelli 1
PonytailA5_Gradient	Coda di cavallo dei capelli 10
BellClapper	Campana 1
EarringA5_Outline	Orecchino Contorno 5
HairShine5_Outline	Contorno di lucentezza dei capelli 10
Nose1	Naso 1
HairClip5_Color	Fermaglio per capelli 5
TailC1_Color	Coda 8
PonytailA5_Outline	Contorno di coda di cavallo per capelli 9 + 10
WingB1_Outline	Ala Contorno 4
AlertClick	Effetto avviso adesivo
HairClip13_Color	Fermaglio per capelli 13
SideHairA7_Outline	Contorno laterale dei capelli 13 + 14
SideHairA6_Outline	Contorno laterale dei capelli 11 + 12
CreditCard	Scorrimento della carta
Hand_Line2	Mano 1 .1
Eye1_Highlight	Evidenziazione degli occhi 1
EarringA1_Color	Orecchino 1
Brow1	Sopracciglia 1
FaceFeatureB2	Caratteristica del viso B 2
CortisolMeter	Danza (cortisolo basso) 2
HairBang1_Side_Outline	Frangia capelli Contorno 1 + 2
Hairline	Capelli di base 1
EarringB1_Color	Orecchino 6
Palmar_Line2	Mano 1 .2
StrawLiquid_Color	Bevanda liquida 2
Mecha5_Color	(Mecha) Mecca 5
HairClip13_Outline	Fermaglio per capelli Contorno 13
EasterEgg3	Pasqua 3
Collar3_Outline	Contorno del colletto dell'abito 3
HairHighlight4_Color	Capelli evidenziati >< 1 + 2
Tongue2	Bocca/Lingua | Leccata
FaceFeatureA3	Caratteristica del viso A 3
AnimalEar4_Outline	Orecchio di animale Contorno 4
SideHairB8_Gradient	Lato dei capelli 32
PonytailA4_Outline	Contorno di coda di cavallo per capelli 7 + 8
HatD1_Outline	Profilo del cappello 8
GasBottle	Bombola del gas
SideHairA2_Outline	Contorno laterale dei capelli 3 + 4
SideHairB5_Outline	Contorno laterale dei capelli 25 + 26
FacialHair_A4_Color	Peli sul viso A 4
EarringA2_Color	Orecchino 2
Eye3_Light	Luce dell'iride dell'occhio 3
AnimalEar1_Back_Outline	Orecchio di animale Contorno 1 .1
CapeFront5_Outline	Capo anteriore | Profilo del Capo 5
SideHairB8_Color	Lato dei capelli 31
HairShine6_Color	Lucentezza dei capelli 11 + 12
Hairband5_Outline	(Fascia per capelli) Cerchietto B Contorno 3
CapeBack1_Outline	Capo Indietro | Profilo del Capo 1
Halo3_Color	Alone 3
Eye3_Eyelash	Ciglia 3
Leg	Gamba 1
Thumb_Color	Mano 1 .3
HairShine2_Color	Lucentezza dei capelli 3 + 4
Hairband1_Outline	(Fascia per capelli) Cerchietto A Contorno 1
Brow7	Sopracciglia 7
Palmar_Line1	Mano 1 .4
PiercingA3_Color	Perforazione 3
Pigtail_A7_Color	Codino di capelli 13
SideHairA3_Gradient	Lato dei capelli 6
SideHairA8_Outline	Contorno laterale dei capelli 15 + 16
PonytailA3_Outline	Contorno di coda di cavallo per capelli 5 + 6
TailF2_Outline	Contorno della coda 16
Ear_Outline	Orecchio Contorno 1
HairClip11_Color	Fermaglio per capelli 11
TailC1_Outline	Contorno della coda 8
Cheek3	Guancia 3
Eye_Popcat_Light	Dimmi 3 | Occhio | Cornice Popcat
CandleFire	Fuoco di candela
PiercingA4_Outline	Perforazione Contorno 4
NeckwearA2_Color	Completo cravatta A 2
little_Color	Mano 1 .5
PiercingA1_Color	Perforazione 1
PhoneLight	Luce del telefono
ShakeLine1	Spaventato 1
Eye2_Upperlid	Ciglia 2 .1
NeckwearA3_Color	Completo cravatta A 3
Brow9	Sopracciglia 9
EarringA1_Outline	Orecchino Contorno 1
TailA2_Outline	Contorno della coda 2
Drooling	Sbavando
PiercingA4_Color	Perforazione 4
PonytailA3_Color	Coda di cavallo dei capelli 5
PonytailA2_Gradient	Coda di cavallo dei capelli 4
AnimalEar7_Outline	Orecchio di animale Contorno 7
Brow6	Sopracciglia 6
PopperConfetti2	Coriandoli 2
Swatter	Schiacciamento
Fin1_Outline	Pinna Contorno
HairShine3_Color	Lucentezza dei capelli 5 + 6
TailB1_Color	Coda 3
HammerEffect2	Martello 2
Mecha1_Outline	Mecha Contorno 1
Pigtail_A4_Outline	Codino di capelli Contorno 7 + 8
HatC1_Outline	Profilo del cappello 6 + 7
Pigtail_B1_Color	Codino di capelli 17
Flash	Lampo di pistola
Brow4	Sopracciglia 4
CortisolMeterPointer	Danza (cortisolo basso) 1
Hand_Line1	Mano 1 .6
RedPacketCoin4	Pacchetto Rosso 4
Cheek4	Guancia 4
FaceFeatureB3	Caratteristica del viso B 3
Brow2	Sopracciglia 2
StickyNote	Nota adesiva
Loading_Outline	Caricamento adesivo 2
Collar6_Outline	Contorno del colletto dell'abito 6 + 7
CapeBack3_Color	Capo Indietro 3
SideHairB6_Outline	Contorno laterale dei capelli 27 + 28
PonytailA1_Outline	Contorno di coda di cavallo per capelli 1 + 2
PonytailA2_Color	Coda di cavallo dei capelli 3
SideHairA2_Color	Lato dei capelli 3
GiftBoxLid	Regalo 2
Collar4_Color	Colletto interno per outfit 4
WingE1_Upper_Color	Ala 8 .1
WingA1_Color	Ala 1
FrameHair_B4_Outline	Inquadratura dei capelli Contorno 29 + 30
FrameHair_Branch_A1_Color	Ramo di capelli 1
SideHairA7_Gradient	Lato dei capelli 14
Wing2_Color	Ala dell'orecchio 2
TailA1_Color	Coda 1
Eye3_Heart	Occhio Cuore 3
FrameHair_A8_Outline	Inquadratura dei capelli Contorno 15 + 16
DrawingTablet	Tavoletta
FaceFeatureA2	Caratteristica del viso A 2
PiercingA2_Color	Perforazione 2
Eye_Popcat_Highlight	Popcat | Evidenziazione degli occhi
Hairband3_Outline	(Fascia per capelli) Cerchietto B Contorno 1
NeckwearB6_Color	Completo cravatta B 6
Mouth_Popcat1	Popcat | Bocca 1
Rose	Rosa
HairbandBack2_Outline	(Fascia per capelli) Cerchietto D Contorno 2
Mecha2_Outline	Mecha Contorno 2
SideHairA8_Gradient	Lato dei capelli 16
NeckwearB7_Color	Completo cravatta B 7
Donut3	Ciambella 3
NeckwearB5_Outline	Completo cravatta B Contorno 5
StickyNoteText	Testo di una nota adesiva
SideHairA6_Gradient	Lato dei capelli 12
PonytailA4_Gradient	Coda di cavallo dei capelli 8
Ahoge_A4_Color	Capelli Ahoge (ciuffo) 4
Gill2_Color	Branchie 1 .2
FacialHair_A7_Outline	Peli sul viso A Contorno 7
HatC1_Color	Cappello 6 + 7
SideHairA5_Color	Lato dei capelli 9
LightStickHandle	Maniglia del bastone luminoso
Eye1_Spiral	Spirale dell'occhio 1 + 2
EasterEgg2	Pasqua 2
EasterEgg1	Pasqua 1
HairClip5_Outline	Fermaglio per capelli Contorno 5
SideHairA8_Color	Lato dei capelli 15
HairHighlight2_Outline	Capelli evidenziati Contorno 2 << + 2 >>
Ahoge_A2_Color	Capelli Ahoge (ciuffo) 2
SideHairB7_Outline	Contorno laterale dei capelli 29 + 30
AlertBits_Outline	Contorno avviso adesivo 6
SunGlasses_Frame	Occhiali da sole
PonytailA4_Color	Coda di cavallo dei capelli 7
HairHighlight2_Color	Capelli evidenziati 2 << + 2 >>
SideHairA5_Gradient	Lato dei capelli 10
SideHairA6_Color	Lato dei capelli 11
HairbandBack2_Color	Fascia per capelli D 2
NeckwearB1_Outline	Completo cravatta B Contorno 2
HairClip3_Outline	Fermaglio per capelli Contorno 3
Bill2	Conto 2
Volume	Volume dell'autoadesivo
FrameHair_A1_Color	Inquadratura dei capelli 1 
FrameHair_A2_Gradient	Inquadratura dei capelli 2 
Pigtail_C2_Color	Codino di capelli 23
Pigtail_C2_Gradient	Codino di capelli 24
WingF1_Lower_Outline	Ala Contorno 9 .2
Glasses_Frame3	Occhiali 3
WingA2_Outline	Ala Contorno 2
PalmarGlove1_Outline	Mano 2 .1
Eye1_Sparkling	Occhio scintillante 1
SideHairB2_Color	Lato dei capelli 19
SideHairB2_Gradient	Lato dei capelli 20
SideHairA1_Outline	Contorno laterale dei capelli 1 + 2
EarringA3_Color	Orecchino 3
EarringA4_Color	Orecchino 4
TailF_Outline	Contorno della coda 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	Contorno dell'alone 2
HairBang4_Side_Outline	Frangia capelli Contorno 7 + 8
TailD1_Outline	Contorno della coda 11
Pigtail_A8_Outline	Codino di capelli Contorno 15 + 16
HairBang4_Middle_Outline	(Fascia per capelli) Cerchietto >< Contorno 4
SideHairB2_Outline	Contorno laterale dei capelli 19 + 20
ShakeLine2	Spaventato 2
EarringB2_Color	Orecchino 7
TailA2_Color	Coda 2
TailF_Color	Coda 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	Lato dei capelli 27
Controller	Controllore
HairBang3_Middle_Gradient	Frangia ai capelli >< 6
HairBang3_Middle_Color	Frangia ai capelli >< 5
Horn4_Color	Corno 4
