SpriteName	Ja
FaceFeatureB5	顔パーツ B 5
PiercingA5_Color	ピアス 5
Loading	ローディング
Nose3	鼻 3
CapeFront3_Outline	ケープ 前 | ケープ 輪郭 3
CockroachLeg	虫 1
EarringA5_Color	イヤリング 5
Eye2_Highlight	目ハイライト 2
Angry4	怒り エフェクト 4
AnimalEar1_Front_Outline	ケモ耳 輪郭 1
Main5_Outline	服 内側 輪郭 5
ExclamationMark	びっくりマーク エフェクト
Mouth_Line	飲み物のカップ | 口
Eye3_Dollar	お金の目 3
HairShine7_Color	髪ツヤ 13 + 14
WingG1_Outter_Color	翼 10 .1
Eye1_Upperlid	まつげ 1 .1
WingE1_Middle_Color	翼 8 .2
TailE2_Color	しっぽ 13
SweatWhite	汗 エフェクト
Collar6_String	襟ひも 7
PonytailA5_Color	ヘアポニーテール 9
FrameHair_A10_Outline	 顔まわり髪 輪郭 19
HairBang6_Side_Color	前髪 11
SideHairA5_Outline	横髪 輪郭 9 + 10
SideHairA3_Color	横髪 5
FrameHair_A5_Outline	 顔まわり髪 輪郭 9 + 10
Pigtail_A2_Color	おさげ 3
SideHairB8_Outline	横髪 輪郭 31 + 32
SideHairA3_Outline	横髪 輪郭 5 + 6 
PonytailA1_Color	ヘアポニーテール 1
PonytailA5_Gradient	ヘアポニーテール 10
BellClapper	ベル 1
EarringA5_Outline	イヤリング 輪郭 5
HairShine5_Outline	髪ツヤ 輪郭 10
Nose1	鼻 1
HairClip5_Color	ヘアピン 5
TailC1_Color	しっぽ 8
PonytailA5_Outline	髪ポニーテールの概要 9 + 10
WingB1_Outline	翼 輪郭 4
AlertClick	アラート エフェクト
HairClip13_Color	ヘアピン 13
SideHairA7_Outline	横髪 輪郭 13 + 14
SideHairA6_Outline	横髪 輪郭 11 + 12
CreditCard	カードスワイプ
Hand_Line2	手 1 .1
Eye1_Highlight	目ハイライト 1
EarringA1_Color	イヤリング 1
Brow1	眉 1
FaceFeatureB2	顔パーツ B 2
CortisolMeter	ダンス（低コルチゾール） 2
HairBang1_Side_Outline	前髪 輪郭 1 + 2
Hairline	髪ベース 1
EarringB1_Color	イヤリング 6
Palmar_Line2	手 1 .2
StrawLiquid_Color	飲み物 2
Mecha5_Color	メカ 5
HairClip13_Outline	ヘアピン 輪郭 13
EasterEgg3	イースター 3
Collar3_Outline	襟 輪郭 3
HairHighlight4_Color	髪ハイライト >< 1 + 2
Tongue2	口／舌 | ぺろり
FaceFeatureA3	顔パーツ A 3
AnimalEar4_Outline	ケモ耳 輪郭 4
SideHairB8_Gradient	横髪 32
PonytailA4_Outline	髪ポニーテールの概要 7 + 8
HatD1_Outline	帽子 輪郭 8
GasBottle	ガスボンベ
SideHairA2_Outline	横髪 輪郭 3 + 4
SideHairB5_Outline	横髪 輪郭 25 + 26
FacialHair_A4_Color	ひげ A 4
EarringA2_Color	イヤリング 2
Eye3_Light	 虹彩 淡 3
AnimalEar1_Back_Outline	ケモ耳 輪郭 1 .1
CapeFront5_Outline	ケープ 前 | ケープ 輪郭 5
SideHairB8_Color	横髪 31
HairShine6_Color	髪ツヤ 11 + 12
Hairband5_Outline	ヘアバンド B 輪郭 3
CapeBack1_Outline	ケープ 後ろ | ケープ 輪郭 1
Halo3_Color	天使の輪 3
Eye3_Eyelash	まつげ 3
Leg	脚 1
Thumb_Color	手 1 .3
HairShine2_Color	髪ツヤ 3 + 4
Hairband1_Outline	ヘアバンド A 輪郭 1
Brow7	眉 7
Palmar_Line1	手 1 .4
PiercingA3_Color	ピアス 3
Pigtail_A7_Color	おさげ 13
SideHairA3_Gradient	横髪 6
SideHairA8_Outline	横髪 輪郭 15 + 16
PonytailA3_Outline	髪ポニーテールの概要 5 + 6
TailF2_Outline	しっぽ 輪郭 16
Ear_Outline	耳 輪郭 1
HairClip11_Color	ヘアピン 11
TailC1_Outline	しっぽ 輪郭 8
Cheek3	頬 3
Eye_Popcat_Light	ほげ 3 | 目 | パクパク猫（コマ送り）
CandleFire	ろうそくの火
PiercingA4_Outline	 ピアス 輪郭 4
NeckwearA2_Color	首アクセ A 2
little_Color	手 1 .5
PiercingA1_Color	ピアス 1
PhoneLight	スマホライト
ShakeLine1	怖い 1
Eye2_Upperlid	まつげ 2 .1
NeckwearA3_Color	首アクセ A 3
Brow9	眉 9
EarringA1_Outline	イヤリング 輪郭 1
TailA2_Outline	しっぽ 輪郭 2
Drooling	 よだれ
PiercingA4_Color	ピアス 4
PonytailA3_Color	ヘアポニーテール 5
PonytailA2_Gradient	ヘアポニーテール 4
AnimalEar7_Outline	ケモ耳 輪郭 7
Brow6	眉 6
PopperConfetti2	紙吹雪 2
Swatter	ハエたたき
Fin1_Outline	ヒレ 輪郭
HairShine3_Color	髪ツヤ 5 + 6
TailB1_Color	しっぽ 3
HammerEffect2	ハンマー 2
Mecha1_Outline	メカ 輪郭 1
Pigtail_A4_Outline	おさげ 輪郭 7 + 8
HatC1_Outline	帽子 輪郭 6 + 7
Pigtail_B1_Color	おさげ 17
Flash	銃口フラッシュ
Brow4	眉 4
CortisolMeterPointer	ダンス（低コルチゾール） 1
Hand_Line1	手 1 .6
RedPacketCoin4	お年玉 4
Cheek4	頬 4
FaceFeatureB3	顔パーツ B 3
Brow2	眉 2
StickyNote	ふせん（ほげ）
Loading_Outline	ローディング 2
Collar6_Outline	襟 輪郭 6 + 7
CapeBack3_Color	ケープ 後ろ 3
SideHairB6_Outline	横髪 輪郭 27 + 28
PonytailA1_Outline	髪ポニーテールの概要 1 + 2
PonytailA2_Color	ヘアポニーテール 3
SideHairA2_Color	横髪 3
GiftBoxLid	ギフト 2
Collar4_Color	襟 内側 4
WingE1_Upper_Color	翼 8 .1
WingA1_Color	翼 1
FrameHair_B4_Outline	 顔まわり髪 輪郭 29 + 30
FrameHair_Branch_A1_Color	髪ハネ 1
SideHairA7_Gradient	横髪 14
Wing2_Color	耳羽 2
TailA1_Color	しっぽ 1
Eye3_Heart	ハート目 3
FrameHair_A8_Outline	 顔まわり髪 輪郭 15 + 16
DrawingTablet	タブレット
FaceFeatureA2	顔パーツ A 2
PiercingA2_Color	ピアス 2
Eye_Popcat_Highlight	パクパク猫 | 目ハイライト
Hairband3_Outline	ヘアバンド B 輪郭 1
NeckwearB6_Color	首アクセ B 6
Mouth_Popcat1	パクパク猫 | 口 1
Rose	バラ
HairbandBack2_Outline	ヘアバンド D 輪郭 2
Mecha2_Outline	メカ 輪郭 2
SideHairA8_Gradient	横髪 16
NeckwearB7_Color	首アクセ B 7
Donut3	ドーナツ 3
NeckwearB5_Outline	首アクセ B 輪郭 5
StickyNoteText	ふせんの文字（ほげ）
SideHairA6_Gradient	横髪 12
PonytailA4_Gradient	ヘアポニーテール 8
Ahoge_A4_Color	アホ毛 4
Gill2_Color	エラ 1 .2
FacialHair_A7_Outline	ひげ A 輪郭 7
HatC1_Color	帽子 6 + 7
SideHairA5_Color	横髪 9
LightStickHandle	ペンライト持ち手
Eye1_Spiral	ぐるぐる目 1 + 2
EasterEgg2	イースター 2
EasterEgg1	イースター 1
HairClip5_Outline	ヘアピン 輪郭 5
SideHairA8_Color	横髪 15
HairHighlight2_Outline	髪ハイライト 輪郭 2 << + 2 >>
