SpriteName	Ko
FaceFeatureB5	얼굴 특징 B 5
PiercingA5_Color	피어싱 5
Loading	스티커 로딩
Nose3	코 3
CapeFront3_Outline	케이프 프론트 | 케이프 아웃라인 3
CockroachLeg	바퀴벌레 1
EarringA5_Color	귀걸이 5
Eye2_Highlight	눈 하이라이트 2
Angry4	화남 스티커 4
AnimalEar1_Front_Outline	동물 귀 외곽선 1
Main5_Outline	의상 외곽선 5
ExclamationMark	느낌표 스티커
Mouth_Line	음료 컵 | 입
Eye3_Dollar	달러($) 눈 3
HairShine7_Color	머리 하이라이트 13 + 14
WingG1_Outter_Color	날개 10 .1
Eye1_Upperlid	속눈썹 1 .1
WingE1_Middle_Color	날개 8 .2
TailE2_Color	꼬리 13
SweatWhite	땀방울 스티커
Collar6_String	옷깃 끈 7
PonytailA5_Color	헤어 포니테일 9
FrameHair_A10_Outline	옆머리 외곽선 19
HairBang6_Side_Color	앞머리 11
SideHairA5_Outline	옆머리(전체) 외곽선 9 + 10
SideHairA3_Color	옆머리(전체) 5
FrameHair_A5_Outline	옆머리 외곽선 9 + 10
Pigtail_A2_Color	양갈래 머리 3
SideHairB8_Outline	옆머리(전체) 외곽선 31 + 32
SideHairA3_Outline	옆머리(전체) 외곽선 5 + 6 
PonytailA1_Color	헤어 포니테일 1
PonytailA5_Gradient	헤어 포니테일 10
BellClapper	종 1
EarringA5_Outline	귀걸이 개요 5
HairShine5_Outline	머리 하이라이트 외곽선 10
Nose1	코 1
HairClip5_Color	머리핀 5
TailC1_Color	꼬리 8
PonytailA5_Outline	헤어 포니테일 외곽선 9 + 10
WingB1_Outline	날개 외곽선 4
AlertClick	경고 스티커 효과
HairClip13_Color	머리핀 13
SideHairA7_Outline	옆머리(전체) 외곽선 13 + 14
SideHairA6_Outline	옆머리(전체) 외곽선 11 + 12
CreditCard	카드 스와이프
Hand_Line2	손 1 .1
Eye1_Highlight	눈 하이라이트 1
EarringA1_Color	귀걸이 1
Brow1	눈썹 1
FaceFeatureB2	얼굴 특징 B 2
CortisolMeter	댄스(낮은 코르티솔) 2
HairBang1_Side_Outline	앞머리 외곽선 1 + 2
Hairline	기본 두상 1
EarringB1_Color	귀걸이 6
Palmar_Line2	손 1 .2
StrawLiquid_Color	음료수 2
Mecha5_Color	메카 5
HairClip13_Outline	머리핀 외곽선 13
EasterEgg3	부활절 3
Collar3_Outline	의상 옷깃 외곽선 3
HairHighlight4_Color	머리 브릿지 >< 1 + 2
Tongue2	입/혀 | 핥기
FaceFeatureA3	얼굴 특징 A 3
AnimalEar4_Outline	동물 귀 외곽선 4
SideHairB8_Gradient	옆머리(전체) 32
PonytailA4_Outline	헤어 포니테일 외곽선 7 + 8
HatD1_Outline	모자 외곽선 8
GasBottle	가스통
SideHairA2_Outline	옆머리(전체) 외곽선 3 + 4
