SpriteName	Pt-Br
FaceFeatureB5	Característica facial B 5
PiercingA5_Color	Perfuração 5
Loading	Carregamento de adesivos
Nose3	Nariz 3
CapeFront3_Outline	Frente do Cabo | Contorno do Cabo 3
CockroachLeg	Barata 1
EarringA5_Color	Brinco 5
Eye2_Highlight	Olhos Destaque 2
Angry4	Figurinha Raiva 4
AnimalEar1_Front_Outline	Orelha de Animal Contorno 1
Main5_Outline	Contorno da Roupa Interior 5
ExclamationMark	Figurinha Ponto de Exclamação
Mouth_Line	Copo de Bebida | Boca
Eye3_Dollar	Olho Dolar 3
HairShine7_Color	Cabelo Brilhante 13 + 14
WingG1_Outter_Color	Asa 10 .1
Eye1_Upperlid	Cílios 1 .1
WingE1_Middle_Color	Asa 8 .2
TailE2_Color	Rabo 13
SweatWhite	Figurinha Soando
Collar6_String	Corda da Roupa 7
PonytailA5_Color	Rabo de cavalo de cabelo 9
FrameHair_A10_Outline	Emolduração do Cabelo Contorno 19
HairBang6_Side_Color	Franja do Cabelo 11
SideHairA5_Outline	Contorno do Cabelo Lateral 9 + 10
SideHairA3_Color	Cabelo Lateral 5
FrameHair_A5_Outline	Emolduração do Cabelo Contorno 9 + 10
Pigtail_A2_Color	Rabo de Cavalo 3
SideHairB8_Outline	Contorno do Cabelo Lateral 31 + 32
SideHairA3_Outline	Contorno do Cabelo Lateral 5 + 6 
PonytailA1_Color	Rabo de cavalo de cabelo 1
PonytailA5_Gradient	Rabo de cavalo de cabelo 10
BellClapper	Sino 1
EarringA5_Outline	Brinco Contorno 5
HairShine5_Outline	Contorno do Cabelo Brilhante 10
Nose1	Nariz 1
HairClip5_Color	Grampo de Cabelo 5
TailC1_Color	Rabo 8
PonytailA5_Outline	Contorno de rabo de cavalo de cabelo 9 + 10
WingB1_Outline	Asa Contorno 4
AlertClick	Efeito de Alerta de Figurinha
HairClip13_Color	Grampo de Cabelo 13
SideHairA7_Outline	Contorno do Cabelo Lateral 13 + 14
SideHairA6_Outline	Contorno do Cabelo Lateral 11 + 12
CreditCard	Deslize o cartão
Hand_Line2	Mão 1 .1
