SpriteName	Ru
FaceFeatureB5	Черта лица B 5
PiercingA5_Color	Пирсинг 5
Loading	Загрузка стикера
Nose3	Нос 3
CapeFront3_Outline	Мыс Фронт | Контур мыса 3
CockroachLeg	Таракан 1
EarringA5_Color	Серьга 5
Eye2_Highlight	Глаз Блик 2
Angry4	Стикер Злой 4
AnimalEar1_Front_Outline	Звериные уши Контур 1
Main5_Outline	Плечевая одежда Контур 5
ExclamationMark	Стикер Восклицательный знак
Mouth_Line	Стаканчик | Рот
Eye3_Dollar	Глаз Доллар 3
HairShine7_Color	Волосы Сияние 13 + 14
WingG1_Outter_Color	Крылья 10 .1
Eye1_Upperlid	Ресницы 1 .1
WingE1_Middle_Color	Крылья 8 .2
TailE2_Color	Хвост 13
SweatWhite	Стикер Пот
Collar6_String	Воротник Шнурок 7
PonytailA5_Color	Волосы 9
FrameHair_A10_Outline	Прядь волос Контур 19
HairBang6_Side_Color	Челка 11
SideHairA5_Outline	Боковые волосы Контур 9 + 10
SideHairA3_Color	Боковые волосы 5
FrameHair_A5_Outline	Прядь волос Контур 9 + 10
Pigtail_A2_Color	Волосы Хвостик 3
SideHairB8_Outline	Боковые волосы Контур 31 + 32
SideHairA3_Outline	Боковые волосы Контур 5 + 6 
PonytailA1_Color	Волосы 1
PonytailA5_Gradient	Волосы 10
BellClapper	Колокольчик 1
EarringA5_Outline	Серьга Контур 5
HairShine5_Outline	Волосы Сияние Контур 10
Nose1	Нос 1
HairClip5_Color	Заколка 5
TailC1_Color	Хвост 8
PonytailA5_Outline	Контур волос 9 + 10
WingB1_Outline	Крылья Контур 4
AlertClick	Стикер Уведомление Эффект
HairClip13_Color	Заколка 13
SideHairA7_Outline	Боковые волосы Контур 13 + 14
SideHairA6_Outline	Боковые волосы Контур 11 + 12
CreditCard	Проведение карты
Hand_Line2	Рука 1 .1
Eye1_Highlight	Глаз Блик 1
EarringA1_Color	Серьга 1
Brow1	Бровь 1
FaceFeatureB2	Черта лица B 2
CortisolMeter	Танец (низкий уровень кортизола) 2
HairBang1_Side_Outline	Челка Контур 1 + 2
Hairline	Базовые волосы 1
EarringB1_Color	Серьга 6
Palmar_Line2	Рука 1 .2
StrawLiquid_Color	Жидкость в стаканчике 2
Mecha5_Color	Меха 5
HairClip13_Outline	Заколка Контур 13
EasterEgg3	Пасха 3
Collar3_Outline	Воротник Контур 3
HairHighlight4_Color	Торчащий волос >< 1 + 2
Tongue2	Рот/Язык | Лизь языком
FaceFeatureA3	Черта лица A 3
AnimalEar4_Outline	Звериные уши Контур 4
SideHairB8_Gradient	Боковые волосы 32
PonytailA4_Outline	Контур волос 7 + 8
HatD1_Outline	Шляпа Контур 8
GasBottle	Газовый баллон
SideHairA2_Outline	Боковые волосы Контур 3 + 4
SideHairB5_Outline	Боковые волосы Контур 25 + 26
FacialHair_A4_Color	Волосы на лице A 4
EarringA2_Color	Серьга 2
Eye3_Light	Глаза Радужка Светлая 3
AnimalEar1_Back_Outline	Звериные уши Контур 1 .1
CapeFront5_Outline	Мыс Фронт | Контур мыса 5
SideHairB8_Color	Боковые волосы 31
HairShine6_Color	Волосы Сияние 11 + 12
Hairband5_Outline	Повязки на голову B Контур 3
CapeBack1_Outline	Мыс Назад | Контур мыса 1
Halo3_Color	Нимб 3
Eye3_Eyelash	Ресницы 3
Leg	Нога 1
Thumb_Color	Рука 1 .3
HairShine2_Color	Волосы Сияние 3 + 4
Hairband1_Outline	Банты A Контур 1
Brow7	Бровь 7
Palmar_Line1	Рука 1 .4
PiercingA3_Color	Пирсинг 3
Pigtail_A7_Color	Волосы Хвостик 13
SideHairA3_Gradient	Боковые волосы 6
SideHairA8_Outline	Боковые волосы Контур 15 + 16
PonytailA3_Outline	Контур волос 5 + 6
TailF2_Outline	Хвост Контур 16
Ear_Outline	Ухо Контур 1
HairClip11_Color	Заколка 11
TailC1_Outline	Хвост Контур 8
Cheek3	Щека 3
Eye_Popcat_Light	Глупик 3 | Глаз | Попкэт по кадрам
CandleFire	Горящая свеча
PiercingA4_Outline	Пирсинг Схема 4
NeckwearA2_Color	Галстук A 2
little_Color	Рука 1 .5
PiercingA1_Color	Пирсинг 1
PhoneLight	Телефон Свет
ShakeLine1	Испугался 1
Eye2_Upperlid	Ресницы 2 .1
NeckwearA3_Color	Галстук A 3
Brow9	Бровь 9
EarringA1_Outline	Серьга Контур 1
TailA2_Outline	Хвост Контур 2
Drooling	Слюни
PiercingA4_Color	Пирсинг 4
PonytailA3_Color	Волосы 5
PonytailA2_Gradient	Волосы 4
AnimalEar7_Outline	Звериные уши Контур 7
Brow6	Бровь 6
PopperConfetti2	Конфетти 2
Swatter	Сваттер
Fin1_Outline	Плавник Контур
HairShine3_Color	Волосы Сияние 5 + 6
TailB1_Color	Хвост 3
HammerEffect2	Молоток 2
Mecha1_Outline	Меха Контур 1
Pigtail_A4_Outline	Волосы Хвостик Контур 7 + 8
HatC1_Outline	Шляпа Контур 6 + 7
Pigtail_B1_Color	Волосы Хвостик 17
Flash	Пистолетная вспышка
Brow4	Бровь 4
CortisolMeterPointer	Танец (низкий уровень кортизола) 1
Hand_Line1	Рука 1 .6
RedPacketCoin4	Конверт 4
Cheek4	Щека 4
FaceFeatureB3	Черта лица B 3
Brow2	Бровь 2
StickyNote	Стикер для заметок
Loading_Outline	Загрузка стикера 2
Collar6_Outline	Воротник Контур 6 + 7
CapeBack3_Color	Мыс Назад 3
SideHairB6_Outline	Боковые волосы Контур 27 + 28
PonytailA1_Outline	Контур волос 1 + 2
PonytailA2_Color	Волосы 3
SideHairA2_Color	Боковые волосы 3
GiftBoxLid	Подарок 2
Collar4_Color	Воротник одежды 4
WingE1_Upper_Color	Крылья 8 .1
WingA1_Color	Крылья 1
FrameHair_B4_Outline	Прядь волос Контур 29 + 30
FrameHair_Branch_A1_Color	Прядь волос 1
SideHairA7_Gradient	Боковые волосы 14
Wing2_Color	Крыло-ухо 2
TailA1_Color	Хвост 1
Eye3_Heart	Глаз Сердце 3
FrameHair_A8_Outline	Прядь волос Контур 15 + 16
DrawingTablet	Графический планшет
FaceFeatureA2	Черта лица A 2
PiercingA2_Color	Пирсинг 2
Eye_Popcat_Highlight	Попкэт по кадрам | Глаз Блик
Hairband3_Outline	Повязки на голову B Контур 1
NeckwearB6_Color	Галстук B 6
Mouth_Popcat1	Попкэт | Рот 1
Rose	Роза
HairbandBack2_Outline	Бант сзади D Контур 2
Mecha2_Outline	Меха Контур 2
SideHairA8_Gradient	Боковые волосы 16
NeckwearB7_Color	Галстук B 7
Donut3	Пончик 3
NeckwearB5_Outline	Галстук B Контур 5
StickyNoteText	Стикер заметок Текст
SideHairA6_Gradient	Боковые волосы 12
PonytailA4_Gradient	Волосы 8
Ahoge_A4_Color	Волосы Ахоге 4
Gill2_Color	Жабры 1 .2
FacialHair_A7_Outline	Волосы на лице A Контур 7
HatC1_Color	Шляпа 6 + 7
SideHairA5_Color	Боковые волосы 9
LightStickHandle	Рукоять Лайтстик
Eye1_Spiral	Глаз Спираль 1 + 2
EasterEgg2	Пасха 2
EasterEgg1	Пасха 1
HairClip5_Outline	Заколка Контур 5
SideHairA8_Color	Боковые волосы 15
HairHighlight2_Outline	Торчащий волос Контур 2 << + 2 >>
Ahoge_A2_Color	Волосы Ахоге 2
SideHairB7_Outline	Боковые волосы Контур 29 + 30
AlertBits_Outline	Стикер Уведомление Контур 6
SunGlasses_Frame	Солнцезащитные очки
PonytailA4_Color	Волосы 7
HairHighlight2_Color	Торчащий волос 2 << + 2 >>
SideHairA5_Gradient	Боковые волосы 10
SideHairA6_Color	Боковые волосы 11
HairbandBack2_Color	Бант сзади D 2
NeckwearB1_Outline	Галстук B Контур 2
HairClip3_Outline	Заколка Контур 3
Bill2	Деньги 2
Volume	Стикер Громкость
FrameHair_A1_Color	Прядь волос 1 
FrameHair_A2_Gradient	Прядь волос 2 
Pigtail_C2_Color	Волосы Хвостик 23
Pigtail_C2_Gradient	Волосы Хвостик 24
WingF1_Lower_Outline	Крылья Контур 9 .2
Glasses_Frame3	Очки 3
WingA2_Outline	Крылья Контур 2
PalmarGlove1_Outline	Рука 2 .1
Eye1_Sparkling	Сверкающие глаза 1
SideHairB2_Color	Боковые волосы 19
SideHairB2_Gradient	Боковые волосы 20
SideHairA1_Outline	Боковые волосы Контур 1 + 2
EarringA3_Color	Серьга 3
EarringA4_Color	Серьга 4
TailF_Outline	Хвост Контур 15 + 16 + 17 + 18 + 24 + 25
Halo2_Outline	Нимб Контур 2
HairBang4_Side_Outline	Челка Контур 7 + 8
TailD1_Outline	Хвост Контур 11
Pigtail_A8_Outline	Волосы Хвостик Контур 15 + 16
HairBang4_Middle_Outline	Челка >< Контур 4
SideHairB2_Outline	Боковые волосы Контур 19 + 20
ShakeLine2	Испугался 2
EarringB2_Color	Серьга 7
TailA2_Color	Хвост 2
TailF_Color	Хвост 15 + 16 + 17 + 18 + 24 + 25
SideHairB6_Color	Боковые волосы 27
Controller	Контроллер
HairBang3_Middle_Gradient	Челка >< 6
HairBang3_Middle_Color	Челка >< 5
Horn4_Color	Рог 4
HatD1_Color	Шляпа 8
PonytailA1_Gradient	Волосы 2
SideHairB4_Outline	Боковые волосы Контур 23 + 24
SideHairB6_Gradient	Боковые волосы 28
EarringA4_Outline	Серьга Контур 4
