SpriteName	Sk
FaceFeatureB5	Funkcia tváre B 5
PiercingA5_Color	Piercing 5
Loading	Načítava sa nálepka
Nose3	Nos 3
CapeFront3_Outline	Predná časť mysu | Obrys mysu 3
CockroachLeg	Šváb 1
EarringA5_Color	Náušnica 5
Eye2_Highlight	Zvýraznenie očí 2
Angry4	Nálepka Nahnevaný 4
AnimalEar1_Front_Outline	Ucho zvieraťa Obrys 1
Main5_Outline	Vnútorný obrys oblečenia 5
ExclamationMark	Nálepka s výkričníkom
Mouth_Line	Nápojový pohár | Ústa
Eye3_Dollar	Očný dolár 3
HairShine7_Color	Lesk vlasov 13 + 14
WingG1_Outter_Color	Krídlo 10 .1
Eye1_Upperlid	Mihalnice 1 .1
WingE1_Middle_Color	Krídlo 8 .2
TailE2_Color	Chvost 13
SweatWhite	Nálepka Pot
Collar6_String	Šnúrka na golier oblečenia 7
PonytailA5_Color	Vlasový chvost 9
FrameHair_A10_Outline	Rámovanie vlasov Obrys 19
HairBang6_Side_Color	Účesová ofina 11
SideHairA5_Outline	Vlasová strana Obrys 9 + 10
SideHairA3_Color	Vlasová strana 5
FrameHair_A5_Outline	Rámovanie vlasov Obrys 9 + 10
Pigtail_A2_Color	Vlasový vrkoč 3
SideHairB8_Outline	Vlasová strana Obrys 31 + 32
SideHairA3_Outline	Vlasová strana Obrys 5 + 6 
PonytailA1_Color	Vlasový chvost 1
PonytailA5_Gradient	Vlasový chvost 10
BellClapper	Zvonček 1
EarringA5_Outline	Náušnica Obrys 5
HairShine5_Outline	Obrys lesku vlasov 10
Nose1	Nos 1
HairClip5_Color	Spona do vlasov 5
TailC1_Color	Chvost 8
PonytailA5_Outline	Obrys chvosta vlasov 9 + 10
WingB1_Outline	Krídlo Obrys 4
AlertClick	Efekt upozornenia na nálepku
HairClip13_Color	Spona do vlasov 13
SideHairA7_Outline	Vlasová strana Obrys 13 + 14
SideHairA6_Outline	Vlasová strana Obrys 11 + 12
CreditCard	Potiahnutie karty
Hand_Line2	Ruka 1 .1
Eye1_Highlight	Zvýraznenie očí 1
EarringA1_Color	Náušnica 1
Brow1	Obočie 1
FaceFeatureB2	Funkcia tváre B 2
CortisolMeter	Tanec (nízky kortizol) 2
HairBang1_Side_Outline	Účesová ofina Obrys 1 + 2
Hairline	Základné vlasy 1
EarringB1_Color	Náušnica 6
Palmar_Line2	Ruka 1 .2
StrawLiquid_Color	Tekutý nápoj 2
Mecha5_Color	Mecha 5
HairClip13_Outline	Spona do vlasov Obrys 13
EasterEgg3	Veľká noc 3
Collar3_Outline	Obrys goliera oblečenia 3
HairHighlight4_Color	Zvýraznenie vlasov >< 1 + 2
Tongue2	Ústa/Jazyk | Lízať
