SpriteName	Sv
FaceFeatureB5	Ansiktsfunktion B 5
PiercingA5_Color	Piercing 5
Loading	Klistermärke laddas
Nose3	Näsa 3
CapeFront3_Outline	Framsidan av en kappa | Kappa Kontur 3
CockroachLeg	Kackerlacka 1
EarringA5_Color	Örhänge 5
Eye2_Highlight	Ögonhöjdpunkt 2
Angry4	Väggdekor Arg 4
AnimalEar1_Front_Outline	Djuröra Kontur 1
Main5_Outline	Outfit Inre Kontur 5
ExclamationMark	Klistermärke Utropstecken
Mouth_Line	Dryckeskopp | Mun
Eye3_Dollar	Ögondollar 3
HairShine7_Color	Hårglans 13 + 14
WingG1_Outter_Color	Vinge 10 .1
Eye1_Upperlid	Ögonfransar 1 .1
WingE1_Middle_Color	Vinge 8 .2
TailE2_Color	Svans 13
SweatWhite	Väggdekor Svett
Collar6_String	Outfit krage String 7
PonytailA5_Color	Hår hästsvans 9
FrameHair_A10_Outline	Hårinramning Kontur 19
HairBang6_Side_Color	Hårlugg 11
SideHairA5_Outline	Hårsida Kontur 9 + 10
SideHairA3_Color	Hårsida 5
FrameHair_A5_Outline	Hårinramning Kontur 9 + 10
Pigtail_A2_Color	Hår Pigtail 3
SideHairB8_Outline	Hårsida Kontur 31 + 32
SideHairA3_Outline	Hårsida Kontur 5 + 6 
PonytailA1_Color	Hår hästsvans 1
PonytailA5_Gradient	Hår hästsvans 10
BellClapper	Klocka 1
EarringA5_Outline	Örhänge Kontur 5
HairShine5_Outline	Hårglans Kontur 10
Nose1	Näsa 1
HairClip5_Color	Hårklämma 5
TailC1_Color	Svans 8
PonytailA5_Outline	Hår hästsvans Kontur 9 + 10
WingB1_Outline	Vinge Kontur 4
AlertClick	Klistermärke Alert Effekt
HairClip13_Color	Hårklämma 13
SideHairA7_Outline	Hårsida Kontur 13 + 14
SideHairA6_Outline	Hårsida Kontur 11 + 12
CreditCard	Kortsvep
Hand_Line2	Hand 1 .1
Eye1_Highlight	Ögonhöjdpunkt 1
EarringA1_Color	Örhänge 1
Brow1	Bryn 1
FaceFeatureB2	Ansiktsfunktion B 2
CortisolMeter	Dans (lågt kortisol) 2
HairBang1_Side_Outline	Hårlugg Kontur 1 + 2
Hairline	Bashår 1
EarringB1_Color	Örhänge 6
Palmar_Line2	Hand 1 .2
StrawLiquid_Color	Dryckesvätska 2
Mecha5_Color	Meka 5
HairClip13_Outline	Hårklämma Kontur 13
EasterEgg3	påsk 3
Collar3_Outline	Outfit krage Kontur 3
HairHighlight4_Color	Hårhöjdpunkt >< 1 + 2
Tongue2	Mun/tunga | Slicka
FaceFeatureA3	Ansiktsfunktion A 3
AnimalEar4_Outline	Djuröra Kontur 4
SideHairB8_Gradient	Hårsida 32
PonytailA4_Outline	Hår hästsvans Kontur 7 + 8
HatD1_Outline	Hatt Kontur 8
GasBottle	Gasflaska
SideHairA2_Outline	Hårsida Kontur 3 + 4
SideHairB5_Outline	Hårsida Kontur 25 + 26
FacialHair_A4_Color	Ansiktshår A 4
EarringA2_Color	Örhänge 2
Eye3_Light	Öga Irisljus 3
AnimalEar1_Back_Outline	Djuröra Kontur 1 .1
CapeFront5_Outline	Framsidan av en kappa | Kappa Kontur 5
SideHairB8_Color	Hårsida 31
HairShine6_Color	Hårglans 11 + 12
Hairband5_Outline	Hårband B Kontur 3
CapeBack1_Outline	Baksidan av en kappa | Kappa Kontur 1
Halo3_Color	Halo 3
Eye3_Eyelash	Ögonfransar 3
Leg	Ben 1
Thumb_Color	Hand 1 .3
HairShine2_Color	Hårglans 3 + 4
Hairband1_Outline	Hårband A Kontur 1
Brow7	Bryn 7
Palmar_Line1	Hand 1 .4
PiercingA3_Color	Piercing 3
Pigtail_A7_Color	Hår Pigtail 13
SideHairA3_Gradient	Hårsida 6
SideHairA8_Outline	Hårsida Kontur 15 + 16
PonytailA3_Outline	Hår hästsvans Kontur 5 + 6
TailF2_Outline	Svans Kontur 16
Ear_Outline	Öra Kontur 1
HairClip11_Color	Hårklämma 11
TailC1_Outline	Svans Kontur 8
Cheek3	Kind 3
Eye_Popcat_Light	Dum 3 | Öga | Popcat ram
CandleFire	Ljus eld
PiercingA4_Outline	Piercing Kontur 4
NeckwearA2_Color	Outfit Neckwear A 2
little_Color	Hand 1 .5
PiercingA1_Color	Piercing 1
PhoneLight	Telefonljus
ShakeLine1	Rädd 1
Eye2_Upperlid	Ögonfransar 2 .1
NeckwearA3_Color	Outfit Neckwear A 3
Brow9	Bryn 9
EarringA1_Outline	Örhänge Kontur 1
TailA2_Outline	Svans Kontur 2
Drooling	Dregling
PiercingA4_Color	Piercing 4
PonytailA3_Color	Hår hästsvans 5
PonytailA2_Gradient	Hår hästsvans 4
AnimalEar7_Outline	Djuröra Kontur 7
Brow6	Bryn 6
PopperConfetti2	Konfetti 2
Swatter	Swatter
Fin1_Outline	Fena Kontur
HairShine3_Color	Hårglans 5 + 6
TailB1_Color	Svans 3
HammerEffect2	Hammare 2
Mecha1_Outline	Meka Kontur 1
Pigtail_A4_Outline	Hår Pigtail Kontur 7 + 8
HatC1_Outline	Hatt Kontur 6 + 7
Pigtail_B1_Color	Hår Pigtail 17
Flash	Pistolblixt
Brow4	Bryn 4
CortisolMeterPointer	Dans (lågt kortisol) 1
Hand_Line1	Hand 1 .6
RedPacketCoin4	Rött paket 4
Cheek4	Kind 4
FaceFeatureB3	Ansiktsfunktion B 3
Brow2	Bryn 2
StickyNote	Fästislapp
Loading_Outline	Klistermärke laddas 2
Collar6_Outline	Outfit krage Kontur 6 + 7
CapeBack3_Color	Baksidan av en kappa 3
SideHairB6_Outline	Hårsida Kontur 27 + 28
PonytailA1_Outline	Hår hästsvans Kontur 1 + 2
PonytailA2_Color	Hår hästsvans 3
SideHairA2_Color	Hårsida 3
GiftBoxLid	Gåva 2
Collar4_Color	Outfit Krage Inner 4
WingE1_Upper_Color	Vinge 8 .1
WingA1_Color	Vinge 1
FrameHair_B4_Outline	Hårinramning Kontur 29 + 30
FrameHair_Branch_A1_Color	Hårgren 1
SideHairA7_Gradient	Hårsida 14
Wing2_Color	Öronvinge 2
TailA1_Color	Svans 1
Eye3_Heart	Ögat hjärta 3
FrameHair_A8_Outline	Hårinramning Kontur 15 + 16
DrawingTablet	Tablett
