SpriteName	Th
FaceFeatureB5	ลักษณะใบหน้า B 5
PiercingA5_Color	เจาะเอ 5
Loading	กำลังโหลดสติ๊กเกอร์
Nose3	จมูก 3
CapeFront3_Outline	แหลมหน้า | โครงร่างเคป 3
CockroachLeg	แมลงสาบ 1
EarringA5_Color	ต่างหู 5
Eye2_Highlight	ไฮไลท์ตา 2
Angry4	สติกเกอร์โกรธ 4
AnimalEar1_Front_Outline	เส้นร่างหูสัตว์ 1
Main5_Outline	เส้นร่างชุดด้านใน 5
ExclamationMark	สติกเกอร์เครื่องหมายอัศเจรีย์
Mouth_Line	ถ้วยเครื่องดื่ม | ปาก
Eye3_Dollar	ตา(ดอลลาร์) 3
HairShine7_Color	ไฮไลต์ผม 13 + 14
WingG1_Outter_Color	ปีก 10 .1
Eye1_Upperlid	ขนตา 1 .1
WingE1_Middle_Color	ปีก 8 .2
TailE2_Color	หาง 13
SweatWhite	สติกเกอร์เหงื่อตก
Collar6_String	เชือกเสื้อฮู้ด 7
PonytailA5_Color	ผมหางม้า 9
FrameHair_A10_Outline	เส้นร่างผมด้านข้าง 19
HairBang6_Side_Color	ผมหน้าม้า 11
SideHairA5_Outline	เส้นร่างผมด้านข้าง 9 + 10
SideHairA3_Color	ผมด้านข้าง 5
FrameHair_A5_Outline	เส้นร่างผมด้านข้าง 9 + 10
Pigtail_A2_Color	มัดผม 3
SideHairB8_Outline	เส้นร่างผมด้านข้าง 31 + 32
SideHairA3_Outline	เส้นร่างผมด้านข้าง 5 + 6 
PonytailA1_Color	ผมหางม้า 1
PonytailA5_Gradient	ผมหางม้า 10
BellClapper	กระดิ่ง 1
EarringA5_Outline	ต่างหู โครงร่าง 5
HairShine5_Outline	เส้นร่างไฮไลต์ผม 10
Nose1	จมูก 1
HairClip5_Color	กิ๊บติดผม 5
TailC1_Color	หาง 8
PonytailA5_Outline	โครงร่างผมหางม้า 9 + 10
WingB1_Outline	เส้นร่างปีก 4
AlertClick	สติกเกอร์ Alert Effect
HairClip13_Color	กิ๊บติดผม 13
SideHairA7_Outline	เส้นร่างผมด้านข้าง 13 + 14
SideHairA6_Outline	เส้นร่างผมด้านข้าง 11 + 12
CreditCard	รูดบัตร
Hand_Line2	มือ 1 .1
Eye1_Highlight	ไฮไลท์ตา 1
EarringA1_Color	ต่างหู 1
Brow1	คิ้ว 1
FaceFeatureB2	ลักษณะใบหน้า B 2
CortisolMeter	เต้นรำ (คอร์ติซอลต่ำ) 2
HairBang1_Side_Outline	เส้นร่างผมหน้าม้า 1 + 2
Hairline	ฐานผม 1
EarringB1_Color	ต่างหู 6
Palmar_Line2	มือ 1 .2
StrawLiquid_Color	ของเหลวเครื่องดื่ม 2
Mecha5_Color	ส่วนหุ่นยนต์ 5
HairClip13_Outline	เส้นร่างกิ๊บติดผม 13
EasterEgg3	อีสเตอร์ 3
Collar3_Outline	เส้นร่างปกเสื้อ 3
HairHighlight4_Color	ชิ้นส่วนผม >< 1 + 2
Tongue2	ปาก/ลิ้น | เลีย
FaceFeatureA3	ลักษณะใบหน้า A 3
AnimalEar4_Outline	เส้นร่างหูสัตว์ 4
SideHairB8_Gradient	ผมด้านข้าง 32
PonytailA4_Outline	โครงร่างผมหางม้า 7 + 8
HatD1_Outline	เส้นร่างหมวก 8
GasBottle	ถังแก๊ส
SideHairA2_Outline	เส้นร่างผมด้านข้าง 3 + 4
SideHairB5_Outline	เส้นร่างผมด้านข้าง 25 + 26
FacialHair_A4_Color	ขนบนใบหน้า A 4
EarringA2_Color	ต่างหู 2
Eye3_Light	ตา(สีอ่อน) 3
AnimalEar1_Back_Outline	เส้นร่างหูสัตว์ 1 .1
CapeFront5_Outline	แหลมหน้า | โครงร่างเคป 5
SideHairB8_Color	ผมด้านข้าง 31
HairShine6_Color	ไฮไลต์ผม 11 + 12
Hairband5_Outline	เส้นร่างที่คาดผม B 3
CapeBack1_Outline	เคปแบ็ค | โครงร่างเคป 1
Halo3_Color	Halo 3
Eye3_Eyelash	ขนตา 3
Leg	ขา 1
Thumb_Color	มือ 1 .3
HairShine2_Color	ไฮไลต์ผม 3 + 4
Hairband1_Outline	เส้นร่างที่คาดผม A 1
Brow7	คิ้ว 7
Palmar_Line1	มือ 1 .4
PiercingA3_Color	เจาะเอ 3
Pigtail_A7_Color	มัดผม 13
SideHairA3_Gradient	ผมด้านข้าง 6
SideHairA8_Outline	เส้นร่างผมด้านข้าง 15 + 16
PonytailA3_Outline	โครงร่างผมหางม้า 5 + 6
TailF2_Outline	เส้นร่างหาง 16
Ear_Outline	เส้นร่างหู 1
HairClip11_Color	กิ๊บติดผม 11
TailC1_Outline	เส้นร่างหาง 8
Cheek3	แก้ม 3
Eye_Popcat_Light	หน้าโง่ 3 | ตา | Popcat
CandleFire	เปลวเทียน
PiercingA4_Outline	เจาะ โครงร่าง 4
NeckwearA2_Color	เครื่องประดับคอ A 2
little_Color	มือ 1 .5
PiercingA1_Color	เจาะเอ 1
PhoneLight	แสงโทรศัพท์มือถือ
ShakeLine1	กลัว 1
Eye2_Upperlid	ขนตา 2 .1
NeckwearA3_Color	เครื่องประดับคอ A 3
Brow9	คิ้ว 9
EarringA1_Outline	ต่างหู โครงร่าง 1
TailA2_Outline	เส้นร่างหาง 2
Drooling	น้ำลายไหล
PiercingA4_Color	เจาะเอ 4
PonytailA3_Color	ผมหางม้า 5
