SpriteName	Tr
FaceFeatureB5	Yüz Özelliği B 5
PiercingA5_Color	Pirsing 5
Loading	İşaret Yükleniyor
Nose3	Burun 3
CapeFront3_Outline	Pelerin Önü | Pelerin Anahat 3
CockroachLeg	Hamamböceği 1
EarringA5_Color	Küpe 5
Eye2_Highlight	Göz Detayı 2
Angry4	İşaret Sinirli 4
AnimalEar1_Front_Outline	Hayvan Kulağı Anahat 1
Main5_Outline	Kıyafet İçi Anahat 5
ExclamationMark	İşaret Ünlem
Mouth_Line	Bardak | Ağız
Eye3_Dollar	Göz Paracık 3
HairShine7_Color	Saç Parıltısı 13 + 14
WingG1_Outter_Color	Kanatlar 10 .1
Eye1_Upperlid	Kirpikler 1 .1
WingE1_Middle_Color	Kanatlar 8 .2
TailE2_Color	Kuyruk 13
SweatWhite	İşaret Ter
Collar6_String	Kıyafet Yaka İpi 7
PonytailA5_Color	Saç At Kuyruğu 9
FrameHair_A10_Outline	Saç Ucu Anahat 19
HairBang6_Side_Color	Kahkül 11
SideHairA5_Outline	Saçın Yanı Anahat 9 + 10
SideHairA3_Color	Saçın Yanı 5
FrameHair_A5_Outline	Saç Ucu Anahat 9 + 10
Pigtail_A2_Color	Saç Topuzu 3
SideHairB8_Outline	Saçın Yanı Anahat 31 + 32
SideHairA3_Outline	Saçın Yanı Anahat 5 + 6 
PonytailA1_Color	Saç At Kuyruğu 1
PonytailA5_Gradient	Saç At Kuyruğu 10
BellClapper	Zil 1
EarringA5_Outline	Küpe Anahat 5
HairShine5_Outline	Saç Parıltısı Anahat 10
Nose1	Burun 1
HairClip5_Color	Saç Tokası 5
TailC1_Color	Kuyruk 8
PonytailA5_Outline	Saç At Kuyruğu Anahattı 9 + 10
WingB1_Outline	Kanatlar Anahat 4
AlertClick	Bildirim Çizgileri
HairClip13_Color	Saç Tokası 13
SideHairA7_Outline	Saçın Yanı Anahat 13 + 14
SideHairA6_Outline	Saçın Yanı Anahat 11 + 12
CreditCard	Kart Kaydırma
Hand_Line2	El 1 .1
Eye1_Highlight	Göz Detayı 1
EarringA1_Color	Küpe 1
Brow1	Kaş 1
FaceFeatureB2	Yüz Özelliği B 2
CortisolMeter	Dans (Low Cortisol) 2
HairBang1_Side_Outline	Kahkül Anahat 1 + 2
Hairline	Saç Hattı 1
EarringB1_Color	Küpe 6
Palmar_Line2	El 1 .2
StrawLiquid_Color	Bardaktaki Sıvı 2
Mecha5_Color	Mecha 5
HairClip13_Outline	Saç Tokası Anahat 13
EasterEgg3	Paskalya 3
Collar3_Outline	Kıyafet Yaka Anahat 3
HairHighlight4_Color	Saç Detayı >< 1 + 2
Tongue2	Ağız/Dil | Yala Yala
FaceFeatureA3	Yüz Özelliği A 3
AnimalEar4_Outline	Hayvan Kulağı Anahat 4
SideHairB8_Gradient	Saçın Yanı 32
PonytailA4_Outline	Saç At Kuyruğu Anahattı 7 + 8
HatD1_Outline	Şapka Anahat 8
GasBottle	Gaz Şişesi
SideHairA2_Outline	Saçın Yanı Anahat 3 + 4
SideHairB5_Outline	Saçın Yanı Anahat 25 + 26
FacialHair_A4_Color	Sakal A 4
EarringA2_Color	Küpe 2
Eye3_Light	Göz İris Açıklığı 3
AnimalEar1_Back_Outline	Hayvan Kulağı Anahat 1 .1
CapeFront5_Outline	Pelerin Önü | Pelerin Anahat 5
SideHairB8_Color	Saçın Yanı 31
HairShine6_Color	Saç Parıltısı 11 + 12
Hairband5_Outline	Saç Bandı B Anahat 3
CapeBack1_Outline	Pelerin Arkası | Pelerin Anahat 1
Halo3_Color	Hale 3
Eye3_Eyelash	Kirpikler 3
Leg	Bacak 1
Thumb_Color	El 1 .3
HairShine2_Color	Saç Parıltısı 3 + 4
Hairband1_Outline	Saç Bandı A Anahat 1
Brow7	Kaş 7
Palmar_Line1	El 1 .4
PiercingA3_Color	Pirsing 3
Pigtail_A7_Color	Saç Topuzu 13
SideHairA3_Gradient	Saçın Yanı 6
SideHairA8_Outline	Saçın Yanı Anahat 15 + 16
PonytailA3_Outline	Saç At Kuyruğu Anahattı 5 + 6
TailF2_Outline	Kuyruk Anahat 16
Ear_Outline	Kulaklar Anahat 1
HairClip11_Color	Saç Tokası 11
TailC1_Outline	Kuyruk Anahat 8
Cheek3	Yanak 3
Eye_Popcat_Light	Enayi 3 | Gözler | Popcat Düz
CandleFire	Mum Ateşi
PiercingA4_Outline	Pirsing Anahat 4
NeckwearA2_Color	Boyun Takıları A 2
little_Color	El 1 .5
PiercingA1_Color	Pirsing 1
PhoneLight	Telefon Işığı
ShakeLine1	Korkmuş 1
Eye2_Upperlid	Kirpikler 2 .1
NeckwearA3_Color	Boyun Takıları A 3
Brow9	Kaş 9
EarringA1_Outline	Küpe Anahat 1
TailA2_Outline	Kuyruk Anahat 2
Drooling	Ağzım Sulandı
