SpriteName	Uk
FaceFeatureB5	Риса обличчя B 5
PiercingA5_Color	Пірсинг 5
Loading	Завантаження наклейки
Nose3	ніс 3
CapeFront3_Outline	Капський фронт | Контур мису 3
CockroachLeg	Тарган 1
EarringA5_Color	Сережка 5
Eye2_Highlight	Підсвічування очей 2
Angry4	Наклейка Angry (Злий) 4
AnimalEar1_Front_Outline	Вухо тварин Схема 1
Main5_Outline	Внутрішній контур спорядження 5
ExclamationMark	Наклейка знак оклику
Mouth_Line	Чашка для напоїв | Рот
Eye3_Dollar	Око Долар 3
HairShine7_Color	Блиск волосся 13 + 14
WingG1_Outter_Color	Крило 10 .1
Eye1_Upperlid	вії 1 .1
WingE1_Middle_Color	Крило 8 .2
TailE2_Color	хвіст 13
SweatWhite	Наклейка Піт
Collar6_String	Спорядження Комір рядок 7
PonytailA5_Color	Хвіст для волосся 9
FrameHair_A10_Outline	Обрамлення волосся Контур 19
HairBang6_Side_Color	Чубчик для волосся 11
SideHairA5_Outline	Контур волосся збоку 9 + 10
SideHairA3_Color	Сторона волосся 5
FrameHair_A5_Outline	Обрамлення волосся Контур 9 + 10
Pigtail_A2_Color	 Косичка для волосся 3
SideHairB8_Outline	Контур волосся збоку 31 + 32
SideHairA3_Outline	Контур волосся збоку 5 + 6 
PonytailA1_Color	Хвіст для волосся 1
PonytailA5_Gradient	Хвіст для волосся 10
BellClapper	дзвоник 1
EarringA5_Outline	Сережка Контур 5
HairShine5_Outline	Контур блиску волосся 10
Nose1	ніс 1
HairClip5_Color	Заколка для волосся 5
TailC1_Color	хвіст 8
PonytailA5_Outline	Контур зачіски в хвіст 9 + 10
WingB1_Outline	Крило Контур 4
AlertClick	Ефект сповіщення про наклейку
HairClip13_Color	Заколка для волосся 13
SideHairA7_Outline	Контур волосся збоку 13 + 14
SideHairA6_Outline	Контур волосся збоку 11 + 12
CreditCard	Свайп картки
Hand_Line2	Рука 1 .1
Eye1_Highlight	Підсвічування очей 1
EarringA1_Color	Сережка 1
Brow1	Брова 1
FaceFeatureB2	Риса обличчя B 2
CortisolMeter	Танці (низький кортизол) 2
HairBang1_Side_Outline	Чубчик для волосся контур 1 + 2
Hairline	Базове волосся 1
EarringB1_Color	Сережка 6
Palmar_Line2	Рука 1 .2
StrawLiquid_Color	Рідина для напоїв 2
Mecha5_Color	(Механічний) Меха 5
HairClip13_Outline	Заколка для волосся Контур 13
EasterEgg3	Великдень 3
Collar3_Outline	Контур коміра одягу 3
HairHighlight4_Color	Мелірування волосся >< 1 + 2
Tongue2	Рот/Язик | лизати
FaceFeatureA3	Риса обличчя A 3
AnimalEar4_Outline	Вухо тварин Схема 4
SideHairB8_Gradient	Сторона волосся 32
PonytailA4_Outline	Контур зачіски в хвіст 7 + 8
HatD1_Outline	Контур капелюха 8
GasBottle	газовий балон
SideHairA2_Outline	Контур волосся збоку 3 + 4
SideHairB5_Outline	Контур волосся збоку 25 + 26
FacialHair_A4_Color	Волосся на обличчі A 4
EarringA2_Color	Сережка 2
Eye3_Light	Світло райдужної оболонки очей 3
AnimalEar1_Back_Outline	Вухо тварин Схема 1 .1
CapeFront5_Outline	Капський фронт | Контур мису 5
SideHairB8_Color	Сторона волосся 31
HairShine6_Color	Блиск волосся 11 + 12
Hairband5_Outline	Гумка для волосся B Контур 3
CapeBack1_Outline	Мис Назад | Контур мису 1
Halo3_Color	Ореол 3
Eye3_Eyelash	вії 3
Leg	Нога 1
Thumb_Color	Рука 1 .3
HairShine2_Color	Блиск волосся 3 + 4
Hairband1_Outline	Гумка для волосся A Контур 1
Brow7	Брова 7
Palmar_Line1	Рука 1 .4
PiercingA3_Color	Пірсинг 3
Pigtail_A7_Color	 Косичка для волосся 13
SideHairA3_Gradient	Сторона волосся 6
SideHairA8_Outline	Контур волосся збоку 15 + 16
PonytailA3_Outline	Контур зачіски в хвіст 5 + 6
TailF2_Outline	Контур хвоста 16
Ear_Outline	Контур вуха 1
HairClip11_Color	Заколка для волосся 11
TailC1_Outline	Контур хвоста 8
Cheek3	щока 3
Eye_Popcat_Light	Думка 3 | Око | Рамка Popcat
CandleFire	Вогонь свічки
PiercingA4_Outline	Пірсинг Контур 4
NeckwearA2_Color	Одяг для шиї A 2
little_Color	Рука 1 .5
PiercingA1_Color	Пірсинг 1
PhoneLight	Світло телефону
ShakeLine1	Наляканий 1
Eye2_Upperlid	вії 2 .1
NeckwearA3_Color	Одяг для шиї A 3
Brow9	Брова 9
EarringA1_Outline	Сережка Контур 1
TailA2_Outline	Контур хвоста 2
Drooling	Слини
PiercingA4_Color	Пірсинг 4
PonytailA3_Color	Хвіст для волосся 5
PonytailA2_Gradient	Хвіст для волосся 4
AnimalEar7_Outline	Вухо тварин Схема 7
Brow6	Брова 6
PopperConfetti2	Конфетті 2
Swatter	Бійка
Fin1_Outline	(Плавник) Fin Контур
HairShine3_Color	Блиск волосся 5 + 6
TailB1_Color	хвіст 3
HammerEffect2	Молоток 2
Mecha1_Outline	Механічний контур 1
Pigtail_A4_Outline	Косичка для волосся Контур 7 + 8
HatC1_Outline	Контур капелюха 6 + 7
Pigtail_B1_Color	 Косичка для волосся 17
Flash	Спалах пістолета
Brow4	Брова 4
CortisolMeterPointer	Танці (низький кортизол) 1
Hand_Line1	Рука 1 .6
RedPacketCoin4	RedPacket (Червоний пакет) 4
Cheek4	щока 4
