SpriteName	Zh-Hans
FaceFeatureB5	脸部特征 B 5
PiercingA5_Color	耳钉 5
Loading	表情贴纸 加载
Nose3	鼻子 3
CapeFront3_Outline	披风 前 | 披风 轮廓 3
CockroachLeg	蟑螂 1
EarringA5_Color	耳环 5
Eye2_Highlight	眼睛 高光 2
Angry4	表情贴纸 生气 4
AnimalEar1_Front_Outline	兽耳轮廓 1
Main5_Outline	服装 里侧 轮廓 5
ExclamationMark	表情贴纸 感叹号
Mouth_Line	饮料杯 | 嘴
Eye3_Dollar	眼睛 钱 3
HairShine7_Color	头发 高光 13 + 14
WingG1_Outter_Color	翅膀 10 .1
Eye1_Upperlid	眼睛 睫毛 1 .1
WingE1_Middle_Color	翅膀 8 .2
TailE2_Color	尾巴 13
SweatWhite	表情贴纸 汗
Collar6_String	服装 领子 抽绳 7
PonytailA5_Color	头发 单马尾 9
FrameHair_A10_Outline	头发 脸颊 轮廓 19
HairBang6_Side_Color	头发 刘海 11
SideHairA5_Outline	头发 侧面 轮廓 9 + 10
SideHairA3_Color	头发 侧面 5
FrameHair_A5_Outline	头发 脸颊 轮廓 9 + 10
Pigtail_A2_Color	头发 马尾 3
SideHairB8_Outline	头发 侧面 轮廓 31 + 32
SideHairA3_Outline	头发 侧面 轮廓 5 + 6 
PonytailA1_Color	头发 单马尾 1
PonytailA5_Gradient	头发 单马尾 10
BellClapper	铃铛 1
EarringA5_Outline	耳环 轮廓 5
HairShine5_Outline	头发 高光 轮廓 10
Nose1	鼻子 1
HairClip5_Color	发夹 5
TailC1_Color	尾巴 8
PonytailA5_Outline	头发 单马尾 轮廓 9 + 10
WingB1_Outline	翅膀 轮廓 4
AlertClick	表情贴纸 通知/提示 特效
HairClip13_Color	发夹 13
SideHairA7_Outline	头发 侧面 轮廓 13 + 14
SideHairA6_Outline	头发 侧面 轮廓 11 + 12
CreditCard	刷卡
Hand_Line2	手 1 .1
Eye1_Highlight	眼睛 高光 1
EarringA1_Color	耳环 1
Brow1	眉毛 1
FaceFeatureB2	脸部特征 B 2
CortisolMeter	跳舞(低皮质醇) 2
HairBang1_Side_Outline	头发 刘海 轮廓 1 + 2
Hairline	基础头发 1
EarringB1_Color	耳环 6
Palmar_Line2	手 1 .2
StrawLiquid_Color	饮料杯 液体 2
Mecha5_Color	机械 5
HairClip13_Outline	发夹 轮廓 13
EasterEgg3	复活节 3
Collar3_Outline	服装 领子 轮廓 3
HairHighlight4_Color	挑染 >< 1 + 2
Tongue2	嘴/舌头 | 舔舔
FaceFeatureA3	脸部特征 A 3
AnimalEar4_Outline	兽耳轮廓 4
SideHairB8_Gradient	头发 侧面 32
PonytailA4_Outline	头发 单马尾 轮廓 7 + 8
HatD1_Outline	帽子 轮廓 8
GasBottle	压缩气瓶
SideHairA2_Outline	头发 侧面 轮廓 3 + 4
SideHairB5_Outline	头发 侧面 轮廓 25 + 26
FacialHair_A4_Color	胡子 A 4
EarringA2_Color	耳环 2
Eye3_Light	眼睛 虹膜浅色 3
AnimalEar1_Back_Outline	兽耳轮廓 1 .1
CapeFront5_Outline	披风 前 | 披风 轮廓 5
SideHairB8_Color	头发 侧面 31
HairShine6_Color	头发 高光 11 + 12
Hairband5_Outline	发带 B 轮廓 3
CapeBack1_Outline	披风 后 | 披风 轮廓 1
Halo3_Color	光环 3
Eye3_Eyelash	眼睛 睫毛 3
Leg	腿 1
Thumb_Color	手 1 .3
HairShine2_Color	头发 高光 3 + 4
Hairband1_Outline	发带 A 轮廓 1
Brow7	眉毛 7
Palmar_Line1	手 1 .4
PiercingA3_Color	耳钉 3
Pigtail_A7_Color	头发 马尾 13
SideHairA3_Gradient	头发 侧面 6
SideHairA8_Outline	头发 侧面 轮廓 15 + 16
PonytailA3_Outline	头发 单马尾 轮廓 5 + 6
TailF2_Outline	尾巴 轮廓 16
Ear_Outline	耳朵 轮廓 1
HairClip11_Color	发夹 11
TailC1_Outline	尾巴 轮廓 8
Cheek3	脸颊 3
Eye_Popcat_Light	呆 3 | 眼睛 | Popcat 帧
CandleFire	蜡烛 火焰
PiercingA4_Outline	耳钉 轮廓 4
NeckwearA2_Color	服装 颈部装饰 A 2
little_Color	手 1 .5
PiercingA1_Color	耳钉 1
PhoneLight	手机 屏幕光
ShakeLine1	害怕 1
Eye2_Upperlid	眼睛 睫毛 2 .1
NeckwearA3_Color	服装 颈部装饰 A 3
Brow9	眉毛 9
EarringA1_Outline	耳环 轮廓 1
TailA2_Outline	尾巴 轮廓 2
Drooling	馋
PiercingA4_Color	耳钉 4
PonytailA3_Color	头发 单马尾 5
PonytailA2_Gradient	头发 单马尾 4
AnimalEar7_Outline	兽耳轮廓 7
Brow6	眉毛 6
PopperConfetti2	彩纸 2
Swatter	拍子
Fin1_Outline	鳍 轮廓
HairShine3_Color	头发 高光 5 + 6
TailB1_Color	尾巴 3
HammerEffect2	锤子 2
Mecha1_Outline	机械 轮廓 1
Pigtail_A4_Outline	头发 马尾 轮廓 7 + 8
HatC1_Outline	帽子 轮廓 6 + 7
Pigtail_B1_Color	头发 马尾 17
Flash	枪口闪光
Brow4	眉毛 4
CortisolMeterPointer	跳舞(低皮质醇) 1
Hand_Line1	手 1 .6
RedPacketCoin4	红包 4
Cheek4	脸颊 4
FaceFeatureB3	脸部特征 B 3
Brow2	眉毛 2
StickyNote	表情贴纸 便签
Loading_Outline	表情贴纸 加载 2
Collar6_Outline	服装 领子 轮廓 6 + 7
CapeBack3_Color	披风 后 3
SideHairB6_Outline	头发 侧面 轮廓 27 + 28
PonytailA1_Outline	头发 单马尾 轮廓 1 + 2
PonytailA2_Color	头发 单马尾 3
SideHairA2_Color	头发 侧面 3
GiftBoxLid	礼物 2
Collar4_Color	服装 领子 里侧 4
WingE1_Upper_Color	翅膀 8 .1
WingA1_Color	翅膀 1
FrameHair_B4_Outline	头发 脸颊 轮廓 29 + 30
FrameHair_Branch_A1_Color	头发 分叉 1
SideHairA7_Gradient	头发 侧面 14
Wing2_Color	翅膀耳朵 2
TailA1_Color	尾巴 1
Eye3_Heart	眼睛 爱心 3
FrameHair_A8_Outline	头发 脸颊 轮廓 15 + 16
DrawingTablet	画板
FaceFeatureA2	脸部特征 A 2
PiercingA2_Color	耳钉 2
Eye_Popcat_Highlight	Popcat | 眼睛 高光
Hairband3_Outline	发带 B 轮廓 1
NeckwearB6_Color	服装 颈部装饰 B 6
Mouth_Popcat1	Popcat | 嘴 1
Rose	玫瑰
HairbandBack2_Outline	发带 D 轮廓 2
Mecha2_Outline	机械 轮廓 2
SideHairA8_Gradient	头发 侧面 16
NeckwearB7_Color	服装 颈部装饰 B 7
Donut3	甜甜圈 3
NeckwearB5_Outline	服装 颈部装饰 B 轮廓 5
StickyNoteText	表情贴纸 便签 文字
SideHairA6_Gradient	头发 侧面 12
PonytailA4_Gradient	头发 单马尾 8
Ahoge_A4_Color	头发呆毛4
Gill2_Color	腮 1 .2
FacialHair_A7_Outline	胡子 A 轮廓 7
HatC1_Color	帽子 6 + 7
SideHairA5_Color	头发 侧面 9
LightStickHandle	荧光棒 把手
