SpriteName	Zh-Hant
FaceFeatureB5	臉部特徵 B 5
PiercingA5_Color	耳釘 5
Loading	表情貼紙 載入
Nose3	鼻子 3
CapeFront3_Outline	披風 前 | 鬥篷 輪廓 3
CockroachLeg	蟑螂 1
EarringA5_Color	耳環 5
Eye2_Highlight	眼睛 高光 2
Angry4	表情貼紙 生氣 4
AnimalEar1_Front_Outline	獸耳 輪廓 1
Main5_Outline	服裝 內側 輪廓 5
ExclamationMark	表情貼紙 驚嘆號
Mouth_Line	飲料杯 | 嘴
Eye3_Dollar	眼睛 錢 3
HairShine7_Color	頭髮 高光 13 + 14
WingG1_Outter_Color	翅膀 10 .1
Eye1_Upperlid	眼睛 睫毛 1 .1
WingE1_Middle_Color	翅膀 8 .2
TailE2_Color	尾巴 13
SweatWhite	表情貼紙 汗
Collar6_String	服裝 領子 抽繩 7
PonytailA5_Color	頭髮馬尾辮 9
FrameHair_A10_Outline	頭髮 臉頰 輪廓 19
HairBang6_Side_Color	頭髮 瀏海 11
SideHairA5_Outline	頭髮 側面 輪廓 9 + 10
SideHairA3_Color	頭髮 側面 5
FrameHair_A5_Outline	頭髮 臉頰 輪廓 9 + 10
Pigtail_A2_Color	頭髮 馬尾 3
SideHairB8_Outline	頭髮 側面 輪廓 31 + 32
SideHairA3_Outline	頭髮 側面 輪廓 5 + 6 
PonytailA1_Color	頭髮馬尾辮 1
PonytailA5_Gradient	頭髮馬尾辮 10
BellClapper	鈴鐺 1
EarringA5_Outline	耳環 輪廓 5
HairShine5_Outline	頭髮 高光 輪廓 10
Nose1	鼻子 1
HairClip5_Color	髮夾 5
TailC1_Color	尾巴 8
PonytailA5_Outline	頭髮馬尾辮輪廓 9 + 10
WingB1_Outline	翅膀 輪廓 4
AlertClick	表情貼紙 通知/提示 特效
HairClip13_Color	髮夾 13
SideHairA7_Outline	頭髮 側面 輪廓 13 + 14
SideHairA6_Outline	頭髮 側面 輪廓 11 + 12
CreditCard	刷卡
Hand_Line2	手 1 .1
Eye1_Highlight	眼睛 高光 1
EarringA1_Color	耳環 1
Brow1	眉毛 1
FaceFeatureB2	臉部特徵 B 2
CortisolMeter	跳舞(低皮質醇) 2
HairBang1_Side_Outline	頭髮 瀏海 輪廓 1 + 2
Hairline	基礎頭髮 1
EarringB1_Color	耳環 6
Palmar_Line2	手 1 .2
StrawLiquid_Color	飲料杯 液體 2
Mecha5_Color	機械 5
HairClip13_Outline	髮夾 輪廓 13
EasterEgg3	復活節 3
Collar3_Outline	服裝 領子 輪廓 3
HairHighlight4_Color	挑染 >< 1 + 2
Tongue2	嘴/舌頭 | 舔舔
FaceFeatureA3	臉部特徵 A 3
AnimalEar4_Outline	獸耳 輪廓 4
SideHairB8_Gradient	頭髮 側面 32
PonytailA4_Outline	頭髮馬尾辮輪廓 7 + 8
HatD1_Outline	帽子 輪廓 8
GasBottle	壓縮氣瓶
SideHairA2_Outline	頭髮 側面 輪廓 3 + 4
SideHairB5_Outline	頭髮 側面 輪廓 25 + 26
FacialHair_A4_Color	鬍子 A 4
EarringA2_Color	耳環 2
Eye3_Light	眼睛 虹膜淺色 3
AnimalEar1_Back_Outline	獸耳 輪廓 1 .1
CapeFront5_Outline	披風 前 | 鬥篷 輪廓 5
SideHairB8_Color	頭髮 側面 31
HairShine6_Color	頭髮 高光 11 + 12
Hairband5_Outline	髮帶 B 輪廓 3
CapeBack1_Outline	披風 後 | 鬥篷 輪廓 1
Halo3_Color	光環 3
Eye3_Eyelash	眼睛 睫毛 3
Leg	腿 1
Thumb_Color	手 1 .3
HairShine2_Color	頭髮 高光 3 + 4
Hairband1_Outline	髮帶 A 輪廓 1
Brow7	眉毛 7
Palmar_Line1	手 1 .4
PiercingA3_Color	耳釘 3
Pigtail_A7_Color	頭髮 馬尾 13
SideHairA3_Gradient	頭髮 側面 6
SideHairA8_Outline	頭髮 側面 輪廓 15 + 16
PonytailA3_Outline	頭髮馬尾辮輪廓 5 + 6
TailF2_Outline	尾巴 輪廓 16
Ear_Outline	耳朵 輪廓 1
HairClip11_Color	髮夾 11
TailC1_Outline	尾巴 輪廓 8
Cheek3	臉頰 3
Eye_Popcat_Light	呆 3 | 眼睛 | Popcat 幀
CandleFire	蠟燭 火焰
PiercingA4_Outline	耳釘 輪廓 4
NeckwearA2_Color	服裝 頸部裝飾 A 2
little_Color	手 1 .5
PiercingA1_Color	耳釘 1
PhoneLight	手機 螢幕光
ShakeLine1	害怕 1
Eye2_Upperlid	眼睛 睫毛 2 .1
NeckwearA3_Color	服裝 頸部裝飾 A 3
Brow9	眉毛 9
EarringA1_Outline	耳環 輪廓 1
TailA2_Outline	尾巴 輪廓 2
Drooling	嘴饞
PiercingA4_Color	耳釘 4
PonytailA3_Color	頭髮馬尾辮 5
PonytailA2_Gradient	頭髮馬尾辮 4
AnimalEar7_Outline	獸耳 輪廓 7
Brow6	眉毛 6
PopperConfetti2	彩色紙屑 2
Swatter	拍子
Fin1_Outline	鰭 輪廓
HairShine3_Color	頭髮 高光 5 + 6
TailB1_Color	尾巴 3
HammerEffect2	錘子 2
Mecha1_Outline	機械 輪廓 1
Pigtail_A4_Outline	頭髮 馬尾 輪廓 7 + 8
HatC1_Outline	帽子 輪廓 6 + 7
Pigtail_B1_Color	頭髮 馬尾 17
Flash	槍口閃光
Brow4	眉毛 4
CortisolMeterPointer	跳舞(低皮質醇) 1
Hand_Line1	手 1 .6
RedPacketCoin4	紅包 4
Cheek4	臉頰 4
FaceFeatureB3	臉部特徵 B 3
Brow2	眉毛 2
StickyNote	表情貼紙 便利貼
Loading_Outline	表情貼紙 載入 2
Collar6_Outline	服裝 領子 輪廓 6 + 7
CapeBack3_Color	披風 後 3
SideHairB6_Outline	頭髮 側面 輪廓 27 + 28
PonytailA1_Outline	頭髮馬尾辮輪廓 1 + 2
PonytailA2_Color	頭髮馬尾辮 3
SideHairA2_Color	頭髮 側面 3
GiftBoxLid	禮物 2
Collar4_Color	服裝 領子 內側 4
WingE1_Upper_Color	翅膀 8 .1
WingA1_Color	翅膀 1
FrameHair_B4_Outline	頭髮 臉頰 輪廓 29 + 30
FrameHair_Branch_A1_Color	頭髮 分叉 1
SideHairA7_Gradient	頭髮 側面 14
Wing2_Color	翅膀耳朵 2
TailA1_Color	尾巴 1
Eye3_Heart	眼睛 愛心 3
FrameHair_A8_Outline	頭髮 臉頰 輪廓 15 + 16
DrawingTablet	繪圖板
FaceFeatureA2	臉部特徵 A 2
PiercingA2_Color	耳釘 2
Eye_Popcat_Highlight	Popcat | 眼睛 高光
Hairband3_Outline	髮帶 B 輪廓 1
NeckwearB6_Color	服裝 頸部裝飾 B 6
Mouth_Popcat1	Popcat | 嘴 1
Rose	玫瑰
HairbandBack2_Outline	髮帶 D 輪廓 2
Mecha2_Outline	機械 輪廓 2
SideHairA8_Gradient	頭髮 側面 16
