SpriteSheet	SpriteName	English Naomi ver	EN Community Translation Ver	Zh-Hans	Zh-Hant	de	es	fr	hu	ja	ko	ru	pt-br	uk	it	th	tr	sv	sk
CoffeeBean	(FaceFeatureB5)	Face Feature B 5	Face Feature B 5	脸部特征 B 5	臉部特徵 B 5														
CoffeeBean	(PiercingA5_Color)	Piercing A + B 5 Colour	Piercing 5	耳钉 5	耳釘 5														
CoffeeBean	(Loading)	Think Serious Loading Colour	Sticker Loading	表情贴纸 加载	表情貼紙 載入														
CoffeeBean	(Nose3)	Nose 3	Nose 3	鼻子 3	鼻子 3														
CoffeeBean	(CapeFront3_Outline)	Cape Front 3 Outline	Cape Front | Cape Outline 3	披风 前 | 披风 轮廓 3	披風 前 | 鬥篷 輪廓 3														
CoffeeBean_2	(CockroachLeg)	Bug Emote Cockroach Leg	Cockroach 1	蟑螂 1	蟑螂 1														
CoffeeBean_2	(EarringA5_Color)	Earring 5 Colour	Earring	耳环	耳環														
CoffeeBean_2	(Eye2_Highlight)	Eye 2 Highlight	Eye Highlight 2	眼睛 高光 2	眼睛 高光 2														
CoffeeBean	(Angry4)	Angry Emote Angry Line 4	Sticker Angry 4	表情贴纸 生气 4	表情貼紙 生氣 4														
CoffeeBean	(AnimalEar1_Front_Outline)	Animal Ear 1 Front Outline	Animal Ear Outline 1	兽耳轮廓 1	獸耳 輪廓 1														
CoffeeBean	(Main5_Outline)	Outfit Inner 5 Outline	Outfit Inner Outline 5	服装 里侧 轮廓 5	服裝 內側 輪廓 5														
CoffeeBean	(ExclamationMark)	Exclamation Mark	Sticker Exclamation Mark	表情贴纸 感叹号	表情貼紙 驚嘆號														
CoffeeBean	(Mouth_Line)	Drink Beverage Cup Mouth	Beverage Cup | Mouth	饮料杯 | 嘴	飲料杯 | 嘴														
CoffeeBean	(Eye3_Dollar)	Money Emote Eye 3 Dollar	Eye Dollar 3	眼睛 钱 3	眼睛 錢 3														
CoffeeBean	(HairShine7_Color)	Hair Shine 13 + 14 Colour	Hair Shine 13 + 14	头发 高光 13 + 14	頭髮 高光 13 + 14														
CoffeeBean	(WingG1_Outter_Color)	Wings 10 Outer Colour	Wing 10 .1	翅膀 10 .1	翅膀 10 .1														
CoffeeBean	(Eye1_Upperlid)	Eye 1 Upperlid	Eyelashes 1 .1	眼睛 睫毛 1 .1	眼睛 睫毛 1 .1														
CoffeeBean	(WingE1_Middle_Color)	Wing 8 Mid Colour	Wing 8 .2	翅膀 8 .2	翅膀 8 .2														
CoffeeBean	(TailE2_Color)	Tail 13 Colour	Tail 13	尾巴 13	尾巴 13														
CoffeeBean	(SweatWhite)	Nervous Emote Sweat	Sticker Sweat	表情贴纸 汗	表情貼紙 汗														
CoffeeBean_4	(Collar6_String)	Outfit Collar Inner 7 Strings	Outfit Collar String 7	服装 领子 抽绳 7	服裝 領子 抽繩 7														
CoffeeBean	(PonytailA5_Color)	Ponytail 9 Colour	Hair Ponytail 9	头发 单马尾 9	頭髮馬尾辮 9														
CoffeeBean	(FrameHair_A10_Outline)	Hair Framing 19 Outline	Hair Framing Outline 19	头发 脸颊 轮廓 19	頭髮 臉頰 輪廓 19														
CoffeeBean	(HairBang6_Side_Color)	Hair Bang 11 Colour	Hair Bang 11	头发 刘海 11	頭髮 瀏海 11														
CoffeeBean	(SideHairA5_Outline)	Hair Side 9 + 10 Outline	Hair Side Outline 9 + 10	头发 侧面 轮廓 9 + 10	頭髮 側面 輪廓 9 + 10														
CoffeeBean	(SideHairA3_Color)	Hair Side 5 Colour	Hair Side 5	头发 侧面 5	頭髮 側面 5														
CoffeeBean	(FrameHair_A5_Outline)	Hair Framing 9 + 10 Outline	Hair Framing Outline 9 + 10	头发 脸颊 轮廓 9 + 10	頭髮 臉頰 輪廓 9 + 10														
CoffeeBean	(Pigtail_A2_Color)	Hair Pigtail 3 Colour	Hair Pigtail 3	头发 马尾 3	頭髮 馬尾 3														
CoffeeBean	(SideHairB8_Outline)	Hair Side 31 + 32 Outline	Hair Side Outline 31 + 32	头发 侧面 轮廓 31 + 32	頭髮 側面 輪廓 31 + 32														
CoffeeBean	(SideHairA3_Outline)	Hair Side 5 + 6 Outline	Hair Side Outline 5 + 6 	头发 侧面 轮廓 5 + 6 	頭髮 側面 輪廓 5 + 6 														
CoffeeBean	(PonytailA1_Color)	Ponytail 1 Colour	Hair Ponytail 1	头发 单马尾 1	頭髮馬尾辮 1														
CoffeeBean	(PonytailA5_Gradient)	Ponytail 10 Colour	Hair Ponytail 10	头发 单马尾 10	頭髮馬尾辮 10														
CoffeeBean	(BellClapper)	Bell Emote Inside	Bell 1	铃铛 1	鈴鐺 1														
CoffeeBean	(EarringA5_Outline)	Earring 5 Outline	Earring Outline 5	耳环 轮廓 5	耳環 輪廓 5														
CoffeeBean	(HairShine5_Outline)	Hair Shine 10 Outline	Hair Shine Outline 10	头发 高光 轮廓 10	頭髮 高光 輪廓 10														
CoffeeBean	(Nose1)	Nose 1	Nose 1	鼻子 1	鼻子 1														
CoffeeBean_9	(HairClip5_Color)	Hair Clip 5 Colour	Hair Clip 5	发夹 5	髮夾 5														
CoffeeBean	(TailC1_Color)	Tail 8 Colour	Tail 8	尾巴 8	尾巴 8														
CoffeeBean	(PonytailA5_Outline)	Ponytail 9 + 10 Outline	Hair Ponytail Outline 9 + 10	头发 单马尾 轮廓 9 + 10	頭髮馬尾辮輪廓 9 + 10														
CoffeeBean	(WingB1_Outline)	Wing 4 Outline	Wing Outline 4	翅膀 轮廓 4	翅膀 輪廓 4														
CoffeeBean	(AlertClick)	Alert Emote Lines	Sticker Alert Effect	表情贴纸 通知/提示 特效	表情貼紙 通知/提示 特效														
CoffeeBean	(HairClip13_Color)	Hair Clip 13 Colour	Hair Clip 13	发夹 13	髮夾 13														
CoffeeBean	(SideHairA7_Outline)	Hair Side 13 + 14 Outline	Hair Side Outline 13 + 14	头发 侧面 轮廓 13 + 14	頭髮 側面 輪廓 13 + 14														
CoffeeBean	(SideHairA6_Outline)	Hair Side 11 + 12 Outline	Hair Side Outline 11 + 12	头发 侧面 轮廓 11 + 12	頭髮 側面 輪廓 11 + 12														
CoffeeBean_10	(CreditCard)	Card Swipe Emote Card	Card Swipe	刷卡	刷卡														
CoffeeBean_2	(Hand_Line2)	Hand Outline Bottom Finger Line	Hand 1 .1	手 1 .1	手 1 .1														
CoffeeBean_4	(Eye1_Highlight)	Eye 1 Highlight	Eye Highlight 1	眼睛 高光 1	眼睛 高光 1														
CoffeeBean_5	(EarringA1_Color)	Earring 1 Colour	Earring 1	耳环 1	耳環 1														
CoffeeBean	(Brow1)	Brow 1	Brow 1	眉毛 1	眉毛 1														
CoffeeBean_2	(FaceFeatureB2)	Face Feature B 2	Face Feature B 2	脸部特征 B 2	臉部特徵 B 2														
CoffeeBean_8	(CortisolMeter)	Low Cortisol Meter	Dance (Low Cortisol) 2	跳舞(低皮质醇) 2	跳舞(低皮質醇) 2														
CoffeeBean	(HairBang1_Side_Outline)	Hair Bang 1 + 2 Outline	Hair Bang Outline 1 + 2	头发 刘海 轮廓 1 + 2	頭髮 瀏海 輪廓 1 + 2														
CoffeeBean_2	(Hairline)	Base Hair 1	Base Hair 1	基础头发 1	基礎頭髮 1														
CoffeeBean_2	(EarringB1_Color)	Earring 6 Colour	Earring 6	耳环 6	耳環 6														
